model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
homograph_binary,Hymn,136,2261,0.05673758865248227,0.04715691452938137,0.027994137467809595,0.08132891002061496,0.446805812108125,0.3594862687419738,0.5519935542046066,0.9815430671444759,0.8710644677661169,1.0,2000,0.9999998717196066,1.0,0.9818053935994966,1.0,1.0,1.0
homograph_binary,Lament,1711,5369,0.24166666666666667,0.300573308577314,0.21338458476464556,0.3864623847819457,0.5911004566662375,0.5217310570948772,0.6562979705824931,3.0621513938766373e-30,0.0024987506246876563,0.42028985507246375,2000,7.22353662145258e-30,3.687203110651433e-29,0.004891171435558816,0.024966638195426355,0.8014424160468785,1.0
homograph_binary,Praise,820,4469,0.15503875968992248,0.17815002122121917,0.11898882095713602,0.2542015800548367,0.5305208236687424,0.46857813297369433,0.5942640345090673,0.002695281781225177,0.16391804097951024,0.9345327336331835,2000,0.0047685754590906975,0.02434085571590776,0.29000884173297964,1.0,1.0,1.0
homograph_binary,Royal,45,1400,0.031141868512110725,0.050181534591804425,0.02085965748895724,0.11709813323947735,0.6057936507936508,0.41487591100446236,0.7869389217618447,0.00778544497206631,0.06546726636681659,0.33483258370814595,2000,0.04075238534686461,0.20528466599769707,0.2547262953888909,1.0,1.0,1.0
homograph_binary,Thanksgiving,28,1136,0.024054982817869417,0.06412787262937787,0.016213045170974355,0.19569525399554194,0.7532067404426559,0.5923375517124292,0.8636695537316285,2.292421550402958e-06,0.0024987506246876563,0.008995502248875561,2000,2.0480217776984885e-05,0.00010316634548195611,0.007674734061540659,0.03866044171487347,0.027586206896551724,0.14081183942220465
homograph_binary,Trust,15,864,0.017064846416382253,0.01768804138140782,0.007215658197049558,0.044377528973636664,0.48618827160493827,0.24638664102451416,0.6978566769465171,0.5730420498108879,0.527736131934033,1.0,2000,0.9506499181884885,1.0,0.9359764562163363,1.0,1.0,1.0
homograph_binary,Wisdom,36,1269,0.027586206896551724,0.06656835517039916,0.026301243415171354,0.15676380831818004,0.7371508624463707,0.5969770370211062,0.8670534455351206,5.912733297416413e-07,0.001999000499750125,0.013993003498250875,2000,1.5408941320539742e-06,7.762047167156766e-06,0.0029137973386188258,0.0146778626171723,0.022611644997173542,0.1154195405100038
homograph_count,Hymn,136,2261,0.05673758865248227,0.04756730018577335,0.028008923465232587,0.08319376950619091,0.44359601425709605,0.34039190204551906,0.5703416544199329,0.9865382920942944,0.8925537231384307,1.0,2000,0.9999998717196066,1.0,0.9818053935994966,1.0,1.0,1.0
homograph_count,Lament,1711,5369,0.24166666666666667,0.300953842520299,0.21500445976537594,0.3843138186635243,0.5906559933048556,0.5246003892948702,0.6552337081821412,5.7704736213071565e-30,0.001999000499750125,0.4147926036981509,2000,1.327208932900646e-29,6.774644003800399e-29,0.004179728317659352,0.02133512718518252,0.8014424160468785,1.0
homograph_count,Praise,820,4469,0.15503875968992248,0.1742947006068895,0.11567638439513589,0.24333025852548443,0.5258193299095667,0.4659410459573809,0.5910849744529059,0.00928480206306068,0.19990004997501248,0.9565217391304348,2000,0.014985996312308465,0.07649495685375672,0.32261835184102866,1.0,1.0,1.0
homograph_count,Royal,45,1400,0.031141868512110725,0.05027259253480524,0.02088024080525844,0.12376797744039796,0.6043333333333333,0.42066467517643874,0.7887628749178373,0.008529569026087942,0.06446776611694154,0.3423288355822089,2000,0.04075238534686461,0.20528466599769707,0.2547262953888909,1.0,1.0,1.0
homograph_count,Thanksgiving,28,1136,0.024054982817869417,0.058736419723928034,0.015486154155664497,0.18783994558918654,0.7274899396378269,0.5774299894559962,0.840158476655746,1.915462233164996e-05,0.00399800099950025,0.017991004497751123,2000,4.7065643443482765e-05,0.00023708685545704918,0.010112590763441807,0.05094081731842151,0.03849238171611868,0.19648163640307623
