model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
gemini_embedding_2_cantillation,2791,8384,0.24975391498881433,0.400030385614785,0.6662504085514782,2.426247905915885e-153
gemini_embedding_2_vocalized,2791,8384,0.24975391498881433,0.3963854531301567,0.6624059647832045,1.9431344219581142e-146
berel_consonantal,2791,8384,0.24975391498881433,0.39391971285956606,0.6640870088151392,1.948143336179627e-149
kalm_embedding_gemma3_12b_2511_cantillation,2791,8384,0.24975391498881433,0.387562838955901,0.657493603348823,7.506193788210546e-138
f2llm_v2_14b_vocalized,2791,8384,0.24975391498881433,0.38601376374292384,0.6517003775767803,4.616126618396474e-128
f2llm_v2_14b_cantillation,2791,8384,0.24975391498881433,0.38564836297944716,0.6515204610785486,9.171293744804395e-128
harrier_oss_v1_27b_cantillation,2791,8384,0.24975391498881433,0.3844778733665702,0.6530650506261949,2.462050117007329e-130
harrier_oss_v1_27b_vocalized,2791,8384,0.24975391498881433,0.38281168786044606,0.649781895049792,6.689144180987744e-125
kalm_embedding_gemma3_12b_2511_vocalized,2791,8384,0.24975391498881433,0.381901182777267,0.6533582589621493,7.948505198229213e-131
gemini_embedding_2_consonantal,2791,8384,0.24975391498881433,0.3765328618586145,0.648134013773826,3.2254111364969865e-122
bge_multilingual_gemma2_cantillation,2791,8384,0.24975391498881433,0.3759266123213324,0.6529809898774961,3.4032483857048536e-130
bge_multilingual_gemma2_vocalized,2791,8384,0.24975391498881433,0.37217839039896006,0.6484017090101498,1.187719985215203e-122
neodictabert_consonantal,2791,8384,0.24975391498881433,0.3668684854316097,0.6421824956717476,8.974854494852888e-113
harrier_oss_v1_27b_consonantal,2791,8384,0.24975391498881433,0.3654110268529378,0.6344092055024192,5.099315046135047e-101
f2llm_v2_14b_consonantal,2791,8384,0.24975391498881433,0.3627433576913025,0.6396696049324301,6.681913044450302e-109
qwen3_embedding_8b_vocalized,2791,8384,0.24975391498881433,0.36210610243982144,0.6363663636662008,6.455713605910741e-104
kalm_embedding_gemma3_12b_2511_consonantal,2791,8384,0.24975391498881433,0.36130660999311903,0.6332296199479789,2.7148264633841243e-99
qwen3_embedding_8b_cantillation,2791,8384,0.24975391498881433,0.3609902050641646,0.6342535627740201,8.632771849973363e-101
voyage_4_cantillation,2791,8384,0.24975391498881433,0.3588578354362043,0.6343652733978629,5.916632731149503e-101
voyage_4_vocalized,2791,8384,0.24975391498881433,0.3579048732518434,0.6338463788321786,3.412352674009328e-100
openai_text_embedding_3_large_cantillation,2791,8384,0.24975391498881433,0.357784472464833,0.6326069635633621,2.181933896637639e-98
openai_text_embedding_3_large_vocalized,2791,8384,0.24975391498881433,0.3577655451580757,0.6335868460783161,8.176531117456837e-100
alephbert_consonantal,2791,8384,0.24975391498881433,0.3501870151415011,0.6293949198760465,8.726733066937715e-94
llama_embed_nemotron_8b_vocalized,2791,8384,0.24975391498881433,0.34848302448042323,0.6192157914206241,6.067045626939038e-80
llama_embed_nemotron_8b_cantillation,2791,8384,0.24975391498881433,0.34524225526716745,0.6170898707267909,3.4007386906599964e-77
bge_multilingual_gemma2_consonantal,2791,8384,0.24975391498881433,0.3444664521769528,0.6244843960686066,5.7443194894887695e-87
voyage_4_consonantal,2791,8384,0.24975391498881433,0.34268689444851835,0.6214332943129635,7.304181665482139e-83
openai_text_embedding_3_large_consonantal,2791,8384,0.24975391498881433,0.33699355243513057,0.6180404794172107,2.0352269209635705e-78
llama_embed_nemotron_8b_consonantal,2791,8384,0.24975391498881433,0.3359421871308339,0.6126380271510663,1.3429062895006978e-71
bge_m3_vocalized,2791,8384,0.24975391498881433,0.3322615492623604,0.6157962240954431,1.5137647501690943e-75
bge_m3_consonantal,2791,8384,0.24975391498881433,0.3291739607473011,0.6134640618290524,1.27619785338139e-72
cohere_embed_v4_consonantal,2791,8384,0.24975391498881433,0.32798116710227404,0.608179388629209,3.288333660832352e-66
bge_m3_cantillation,2791,8384,0.24975391498881433,0.327592585655996,0.6083665701641864,1.9728181088928954e-66
qwen3_embedding_8b_consonantal,2791,8384,0.24975391498881433,0.3275069121796415,0.6025127454385826,1.1323404378611597e-59
me5_large_instruct_cantillation,2791,8384,0.24975391498881433,0.324648524185406,0.6075561339474483,1.7908045802055863e-65
me5_large_instruct_consonantal,2791,8384,0.24975391498881433,0.32382094977543274,0.6060862460717519,9.381600950993206e-64
me5_large_instruct_vocalized,2791,8384,0.24975391498881433,0.3221591187725627,0.602936468022898,3.777901648333222e-60
cohere_embed_v4_cantillation,2791,8384,0.24975391498881433,0.31829561991636846,0.5993175395423129,3.855002648443643e-56
cohere_embed_v4_vocalized,2791,8384,0.24975391498881433,0.3152103170640173,0.5937886756367933,2.7267396616910727e-50
miqrabert_consonantal,2791,8384,0.24975391498881433,0.30171941687684306,0.569062849576474,3.4321227547442945e-28
gte_multilingual_base_vocalized,2791,8384,0.24975391498881433,0.29245980043672365,0.5696072572417886,1.3192598550286862e-28
gte_multilingual_base_cantillation,2791,8384,0.24975391498881433,0.2841542660992612,0.5655981962879594,1.267573311819122e-25
gte_multilingual_base_consonantal,2791,8384,0.24975391498881433,0.27520026294066824,0.5574302436812983,4.385949766363982e-20
