model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
clause_kind_1_2_3gram,Hymn,136,2261,0.05673758865248227,0.045486319104070805,0.02717118621439014,0.07986001381427378,0.4258461898691365,0.35494272478026984,0.5593302436980505,0.998186484595694,0.9655172413793104,1.0,2000,0.9999999999999979,1.0,1.0,1.0,1.0,1.0
clause_kind_1_2_3gram,Lament,1711,5369,0.24166666666666667,0.3190186500905817,0.23680823893477346,0.4130968623714003,0.6281030384290446,0.5644750575982269,0.6927124194996322,8.31460548810177e-58,0.0004997501249375312,0.20339830084957522,2000,1.422721383519636e-57,7.010460383111067e-57,0.000769615192403798,0.0037922792748357964,0.3356832222186779,1.0
clause_kind_1_2_3gram,Praise,820,4469,0.15503875968992248,0.13747854176515553,0.09726787235463105,0.18699791526914789,0.4485220680132512,0.40756182149467013,0.5070231312741638,0.9999986571721313,0.9565217391304348,1.0,2000,0.9999999999999999,1.0,0.9980009995002499,1.0,1.0,1.0
clause_kind_1_2_3gram,Royal,45,1400,0.031141868512110725,0.058208013656451965,0.02169422121541846,0.15778879532915902,0.5901428571428572,0.4692938261407349,0.8983775290024051,0.019653367258769414,0.08695652173913043,0.4007996001999001,2000,0.2931703852978824,1.0,0.5335305320312816,1.0,1.0,1.0
clause_kind_1_2_3gram,Thanksgiving,28,1136,0.024054982817869417,0.024444179868493062,0.010795490433305579,0.0517583213964022,0.5283576458752515,0.39965332236788936,0.6944542296739747,0.30397241927408614,0.3188405797101449,0.9400299850074962,2000,0.43568878392022814,1.0,0.44451911975046965,1.0,1.0,1.0
clause_kind_1_2_3gram,Trust,15,864,0.017064846416382253,0.016451281481942713,0.006532682269349854,0.035548880301803254,0.4698302469135803,0.10000243212264234,0.6895576790877095,0.6560056286476235,0.5922038980509745,1.0,2000,0.8756837020002587,1.0,0.8047786451601785,1.0,1.0,1.0
clause_kind_1_2_3gram,Wisdom,36,1269,0.027586206896551724,0.04617427687644757,0.019544479353033023,0.15837188522790202,0.6676735837492339,0.4984025840655093,0.800148627676801,0.00029618481291310674,0.015992003998001,0.09095452273863068,2000,0.002073293690391747,0.01021615577541144,0.1026153589871731,0.5056372366447729,0.5135191025177067,1.0
clause_kind_1_2_3gram_psalm,Hymn,136,2261,0.05673758865248227,0.04845478213249506,0.02517669792536335,0.09426849875272565,0.3848570387907485,0.31011944182670614,0.47385054788856135,0.9999968607013907,0.9955022488755623,1.0,2000,0.9999999999999979,1.0,1.0,1.0,1.0,1.0
clause_kind_1_2_3gram_psalm,Lament,1711,5369,0.24166666666666667,0.3077469871866035,0.2282957364500204,0.3894879725465736,0.6118162810750157,0.55432115797866,0.6690046611510576,1.5410083264377303e-44,0.0009995002498750624,0.25787106446776614,2000,2.3266204144255926e-44,1.1464423344448139e-43,0.0014252133192662927,0.007022739397844068,0.38933474439250965,1.0
clause_kind_1_2_3gram_psalm,Praise,820,4469,0.15503875968992248,0.13330085687456178,0.09342214935636212,0.1823011140557983,0.4349044092365292,0.3847073725395815,0.49068839041885576,0.9999999985315862,0.9870064967516242,1.0,2000,0.9999999999999999,1.0,0.9980009995002499,1.0,1.0,1.0
clause_kind_1_2_3gram_psalm,Royal,45,1400,0.031141868512110725,0.05949267635638771,0.02022594794071086,0.3836838897512479,0.5553650793650794,0.43135144595216285,0.7178238204091274,0.10280000523432242,0.18940529735132433,0.7221389305347327,2000,0.2931703852978824,1.0,0.5335305320312816,1.0,1.0,1.0
clause_kind_1_2_3gram_psalm,Thanksgiving,28,1136,0.024054982817869417,0.02603281919967055,0.012393313038233877,0.08016059135511586,0.5273830482897385,0.4043493754327829,0.6738559171310803,0.310170066187635,0.33483258370814595,0.9470264867566217,2000,0.43568878392022814,1.0,0.44451911975046965,1.0,1.0,1.0
clause_kind_1_2_3gram_psalm,Trust,15,864,0.017064846416382253,0.020533662116080337,0.005796776121698472,0.20029464373451697,0.2959104938271605,0.14285714285714285,0.5414275543212189,0.9966727234754269,0.993503248375812,1.0,2000,0.9966727234754269,1.0,0.993503248375812,1.0,1.0,1.0
clause_kind_1_2_3gram_psalm,Wisdom,36,1269,0.027586206896551724,0.04948266614024188,0.018616216710782785,0.11601451067349426,0.6982969967603537,0.575061805981675,0.8129644805828085,2.4275083034345578e-05,0.005997001499250375,0.03698150924537731,2000,0.00026702591337780134,0.0013157703319029977,0.0625312343828086,0.30812269108040846,0.40679660169915044,1.0
clause_kind_1_2gram,Hymn,136,2261,0.05673758865248227,0.047694617185083464,0.027942475782141943,0.09004839203635276,0.445095220750839,0.36904774408232677,0.6056794234472008,0.9843727331015407,0.9010494752623688,1.0,2000,0.9999999999999979,1.0,1.0,1.0,1.0,1.0
clause_kind_1_2gram,Lament,1711,5369,0.24166666666666667,0.32685211960188576,0.24460286684444682,0.42383246770829874,0.6346269506776298,0.569798450495442,0.6995440657500469,1.27090708069243e-63,0.0004997501249375312,0.18240879560219891,2000,2.2758103537980726e-63,1.1214056743356148e-62,0.000769615192403798,0.0037922792748357964,0.3121217169193181,1.0
clause_kind_1_2gram,Praise,820,4469,0.15503875968992248,0.13577905204428978,0.09664242851370558,0.18552437795260698,0.44318912399238114,0.40479941549746173,0.49905110273018416,0.9999998888984698,0.9770114942528736,1.0,2000,0.9999999999999999,1.0,0.9980009995002499,1.0,1.0,1.0
clause_kind_1_2gram,Royal,45,1400,0.031141868512110725,0.052678408117426245,0.021016965096319968,0.1491093126786148,0.5782539682539682,0.4597966883651543,0.8883409805189357,0.03679787786172882,0.10944527736131934,0.4832583708145927,2000,0.2931703852978824,1.0,0.5335305320312816,1.0,1.0,1.0
clause_kind_1_2gram,Thanksgiving,28,1136,0.024054982817869417,0.02420776155840714,0.010752176232730249,0.051385156275336255,0.5263141348088531,0.38672250910602574,0.6795761246294352,0.3170299771607069,0.3248375812093953,0.9490254872563718,2000,0.43568878392022814,1.0,0.44451911975046965,1.0,1.0,1.0
clause_kind_1_2gram,Trust,15,864,0.017064846416382253,0.016410361658077917,0.006469225125634063,0.034986085092182255,0.466820987654321,0.1404375604952535,0.7134916424586036,0.6706073011555367,0.6061969015492253,1.0,2000,0.8756837020002587,1.0,0.8047786451601785,1.0,1.0,1.0
clause_kind_1_2gram,Wisdom,36,1269,0.027586206896551724,0.04691446887421537,0.019784210608370167,0.15782647952701104,0.6576044129235619,0.49108706261637547,0.8086483450545302,0.000621583647537923,0.019490254872563718,0.10744627686156921,2000,0.0032497461839138746,0.016013126070498925,0.1026153589871731,0.5056372366447729,0.5135191025177067,1.0
clause_kind_1_2gram_psalm,Hymn,136,2261,0.05673758865248227,0.044293237071149516,0.023443090544691635,0.08759951489384774,0.3426646200275776,0.29987122452503273,0.44053807096401204,0.9999999996625615,1.0,1.0,2000,0.9999999999999979,1.0,1.0,1.0,1.0,1.0
clause_kind_1_2gram_psalm,Lament,1711,5369,0.24166666666666667,0.33720483567261134,0.25152262950309856,0.4253819428661457,0.6457300438617738,0.5868318099156845,0.7079789275566932,3.5230446759100742e-74,0.0004997501249375312,0.14442778610694654,2000,6.6164497571969684e-74,3.2602559740070145e-73,0.000769615192403798,0.0037922792748357964,0.26478427452940195,1.0
clause_kind_1_2gram_psalm,Praise,820,4469,0.15503875968992248,0.13473513116537256,0.09473802437650886,0.18087207103168607,0.44953118774866424,0.4086921314633043,0.5089465361455355,0.9999979026745791,0.9540229885057471,1.0,2000,0.9999999999999999,1.0,0.9980009995002499,1.0,1.0,1.0
clause_kind_1_2gram_psalm,Royal,45,1400,0.031141868512110725,0.03770902729871963,0.01667183343472944,0.0737716015430062,0.5829047619047619,0.4707700591014109,0.7196539313422897,0.029015735442239343,0.10994502748625687,0.47276361819090457,2000,0.2931703852978824,1.0,0.5335305320312816,1.0,1.0,1.0
clause_kind_1_2gram_psalm,Thanksgiving,28,1136,0.024054982817869417,0.026275830360624596,0.011306014318965838,0.06353591597166436,0.5378521126760564,0.422809782499961,0.7442629510535942,0.24671425762935778,0.2723638180909545,0.8615692153923038,2000,0.3876938334175622,1.0,0.42800028557149994,1.0,1.0,1.0
clause_kind_1_2gram_psalm,Trust,15,864,0.017064846416382253,0.016304720901813105,0.006780749322352693,0.035795198396153305,0.4780864197530864,0.22631660551486885,0.6698274337413845,0.6147914711443678,0.5422288855572214,1.0,2000,0.8756837020002587,1.0,0.8047786451601785,1.0,1.0,1.0
clause_kind_1_2gram_psalm,Wisdom,36,1269,0.027586206896551724,0.046026905586421134,0.0173807267610649,0.18666454604868418,0.6335259609491288,0.4788423270391325,0.8151100265688019,0.0031146077554440976,0.038980509745127435,0.18990504747626186,2000,0.008882399895155388,0.04376803026456888,0.10748074238742697,0.5296114159684474,0.5135191025177067,1.0
