model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
clause_signature_1_2gram_psalm,2791,8384,0.24975391498881433,0.36747390782761785,0.6402369188312488,9.052963065136399e-110
clause_typ_1_2gram_psalm,2791,8384,0.24975391498881433,0.3661433053264088,0.6436454603947804,4.647429406197999e-115
clause_marginal_typ_rela_psalm,2791,8384,0.24975391498881433,0.3580452462363228,0.6251041037030148,8.188992426137273e-88
clause_typ_1gram_psalm,2791,8384,0.24975391498881433,0.35608518937351985,0.6350022034429095,6.8231337310446814e-102
clause_signature_inventory_psalm,2791,8384,0.24975391498881433,0.3507103319948488,0.6303202505121424,4.232675891180819e-95
phrase_signature_inventory_psalm,2791,8384,0.24975391498881433,0.3445337231888075,0.6084824261325252,1.4373353055420567e-66
clause_typ_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.34440667643914824,0.6233345544293134,2.0792106568535974e-85
clause_marginal_typ_rela,2791,8384,0.24975391498881433,0.3441034593168071,0.6064374037596308,3.6617396579716074e-64
phrase_signature_inventory,2791,8384,0.24975391498881433,0.34398175192775493,0.6178231693474937,3.8819480932265745e-78
phrase_marginal_typ_function_psalm,2791,8384,0.24975391498881433,0.34287247617009614,0.6090472186362381,3.05506440841624e-67
phrase_function_1gram_psalm,2791,8384,0.24975391498881433,0.3412251806159638,0.6050379440048574,1.5277509513164177e-62
phrase_function_1gram,2791,8384,0.24975391498881433,0.3406767325104968,0.6121802443650666,4.912531210741815e-71
phrase_marginal_typ_function,2791,8384,0.24975391498881433,0.33963850970945103,0.6138791945758039,3.8853846486939904e-73
phrase_full_signature_inventory,2791,8384,0.24975391498881433,0.3393907177469507,0.6168594408554213,6.707200618929399e-77
phrase_signature_1_2gram_psalm,2791,8384,0.24975391498881433,0.33895802517441886,0.6117959666567292,1.4533283814263958e-70
phrase_signature_1_2gram,2791,8384,0.24975391498881433,0.33798001562946667,0.613948041482847,3.188581084773133e-73
clause_typ_1gram,2791,8384,0.24975391498881433,0.33644889809686596,0.6207088846783965,6.65522292422674e-82
phrase_full_signature_1_2gram,2791,8384,0.24975391498881433,0.3350929785678515,0.6117096409259862,1.8533750540537874e-70
phrase_full_signature_1_2gram_psalm,2791,8384,0.24975391498881433,0.3339954059812012,0.6077443838701825,1.074404292709927e-65
phrase_function_1_2gram_psalm,2791,8384,0.24975391498881433,0.3335361492904111,0.6058079951643915,1.9728023749925695e-63
phrase_full_signature_inventory_psalm,2791,8384,0.24975391498881433,0.332578471984468,0.6024652235511636,1.28032942123083e-59
phrase_function_1_2gram,2791,8384,0.24975391498881433,0.33229280338396294,0.603184932279601,1.9806053864123319e-60
clause_signature_inventory,2791,8384,0.24975391498881433,0.33003180463817605,0.6094862405332298,9.116956652725914e-68
phrase_signature_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3291481610085206,0.6084616139390243,1.5215083693196207e-66
phrase_signature_1_2_3gram,2791,8384,0.24975391498881433,0.3272923315987253,0.6078432738409446,8.212149271071241e-66
phrase_function_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.32486535211577255,0.604088660115256,1.8666364529269057e-61
clause_typ_1_2gram,2791,8384,0.24975391498881433,0.3230167682707362,0.6133721377464643,1.6597055802457048e-72
clause_signature_1_2gram,2791,8384,0.24975391498881433,0.32210408315993894,0.6043407141548215,9.624821382666792e-62
phrase_function_1_2_3gram,2791,8384,0.24975391498881433,0.32084565313193014,0.596879136797394,1.6100284637885914e-53
phrase_typ_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3192509438164177,0.5992084357845966,5.066067463068021e-56
clause_signature_1_2_3gram,2791,8384,0.24975391498881433,0.3178744231688173,0.601020891510608,5.210923875246787e-58
phrase_typ_1_2gram_psalm,2791,8384,0.24975391498881433,0.31749295730951216,0.5936176908602077,4.0855778726430465e-50
clause_typ_1_2_3gram,2791,8384,0.24975391498881433,0.3161502336853911,0.6084016987536274,1.7922657860071454e-66
phrase_typ_1_2gram,2791,8384,0.24975391498881433,0.3150875643101292,0.5922160943299208,1.0934293665782137e-48
phrase_typ_1_2_3gram,2791,8384,0.24975391498881433,0.31480729369042904,0.5916462590359963,4.102714048088509e-48
clause_tree_summary_psalm,2791,8384,0.24975391498881433,0.31120138455823504,0.5946999676577658,3.121363856098496e-51
phrase_typ_1gram,2791,8384,0.24975391498881433,0.3091556515110826,0.58897934951767,1.7943623513281472e-45
phrase_typ_1gram_psalm,2791,8384,0.24975391498881433,0.3090953506510331,0.5817297830266861,1.1024812324299312e-38
clause_signature_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3086306311232748,0.574887913303667,8.435081524797235e-33
phrase_det_1_2_3gram,2791,8384,0.24975391498881433,0.3080359673471778,0.5686971618151037,6.496509637084384e-28
clause_rela_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3075797884049537,0.5745435719296759,1.6173156038016814e-32
clause_kind_1_2gram_psalm,2791,8384,0.24975391498881433,0.3070152466608323,0.5841509206254564,6.897127206143283e-41
phrase_rela_1_2_3gram,2791,8384,0.24975391498881433,0.30531442013479104,0.5863739791341307,5.744269457631528e-43
phrase_complexity_core_psalm,2791,8384,0.24975391498881433,0.3047259191729176,0.5971393105839107,8.516804307026876e-54
phrase_complexity_core,2791,8384,0.24975391498881433,0.3047258423481942,0.5971394815259518,8.51323693206452e-54
phrase_rela_1_2gram,2791,8384,0.24975391498881433,0.3036590525419832,0.5837630317665014,1.5703467455797756e-40
clause_kind_inventory_psalm,2791,8384,0.24975391498881433,0.30351722280542864,0.581839613288077,8.785805336858028e-39
phrase_det_1_2gram,2791,8384,0.24975391498881433,0.3011783847152333,0.5736552929809831,8.553487650177823e-32
phrase_det_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.2986073419659531,0.551589367815306,1.450676450387677e-16
clause_kind_inventory,2791,8384,0.24975391498881433,0.29849017419649926,0.5794793737914398,1.0805669753582917e-36
clause_tab_transition_psalm,2791,8384,0.24975391498881433,0.29701546430519893,0.563140007001786,7.011589997291007e-24
phrase_det_1gram,2791,8384,0.24975391498881433,0.2945918360073968,0.5778817494755498,2.5940337657433137e-35
clause_kind_1_2gram,2791,8384,0.24975391498881433,0.29394994869354374,0.5686724606901682,6.78182140293398e-28
clause_rela_1_2gram_psalm,2791,8384,0.24975391498881433,0.29165046598410577,0.5803461354107122,1.8758535127371215e-37
clause_kind_1_2_3gram,2791,8384,0.24975391498881433,0.2884968210190301,0.564955753362088,3.6708751616125286e-25
phrase_det_1_2gram_psalm,2791,8384,0.24975391498881433,0.2860390712184794,0.5490562631796314,3.747452436168917e-15
clause_mother_edge_distance_psalm,2791,8384,0.24975391498881433,0.28307109874242564,0.5466159373367504,7.395405739945878e-14
clause_kind_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.2827195479524198,0.5555888132793247,6.184886726850085e-19
phrase_det_1gram_psalm,2791,8384,0.24975391498881433,0.2802087154956199,0.5545894433716881,2.5104424452376432e-18
phrase_signature_posmean,2791,8384,0.24975391498881433,0.275824296651701,0.5476913764526654,2.023224694567434e-14
clause_tab_inventory,2791,8384,0.24975391498881433,0.2734367928614255,0.5401082593040334,1.0252994717931984e-10
clause_rela_1gram_psalm,2791,8384,0.24975391498881433,0.27111633947220987,0.5406158930627617,6.054205631211063e-11
phrase_rela_1gram,2791,8384,0.24975391498881433,0.2709639585152738,0.5428828836759924,5.3289015668401e-12
phrase_rela_1_2gram_psalm,2791,8384,0.24975391498881433,0.26754608121274015,0.53864441850304,4.5202806554405396e-10
clause_tab_inventory_psalm,2791,8384,0.24975391498881433,0.267488093956631,0.5322736223097142,1.5633526958031416e-07
clause_rela_1_2gram,2791,8384,0.24975391498881433,0.2670656156936665,0.5329107019290468,9.110498827273344e-08
clause_rela_1_2_3gram,2791,8384,0.24975391498881433,0.2667142067266964,0.5341143048402581,3.197147524373041e-08
phrase_rela_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.26639559868156926,0.5401445417522517,9.875029638422773e-11
clause_mother_edge_distance,2791,8384,0.24975391498881433,0.2661562894475757,0.5269890559486463,9.4291891652239e-06
clause_rela_1gram,2791,8384,0.24975391498881433,0.2646363361536877,0.523156749065289,0.0001210184363576645
phrase_rela_1gram_psalm,2791,8384,0.24975391498881433,0.26200682292632815,0.5307781144956116,5.341831926874638e-07
phrase_subphrase_rela_1gram,2733,8293,0.2478686740431707,0.25391597851885667,0.5142857401282139,0.01243000604471153
phrase_subphrase_rela_1_2gram,2733,8293,0.2478686740431707,0.2515388435688302,0.508614713875972,0.08803799527756684
phrase_subphrase_rela_1gram_psalm,2733,8293,0.2478686740431707,0.24805521852959087,0.5062905781214889,0.16159278541627498
phrase_subphrase_rela_1_2_3gram,2733,8293,0.2478686740431707,0.24799287872072784,0.5072402679241955,0.12775248341966067
phrase_subphrase_rela_1_2_3gram_psalm,2733,8293,0.2478686740431707,0.24558225941969009,0.49677499470654213,0.6937436981272108
phrase_subphrase_rela_1_2gram_psalm,2733,8293,0.2478686740431707,0.24433236494205768,0.49988413735873505,0.5072602203133816
