model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
morph_atomic_core,0.13864483493077742,0.18542938337773313,0.13776474916311585,0.25120326881864163,0.13799366619594144,0.2535672906537406,0.2476090538722184,0.09267892850398353,0.40479651526951876,0.09373907753535372,0.4053438902094092,0.5891964428240981,0.5384579531943022,0.6396044955264883,0.5393977257935868,0.640644010430176,1000,147
morph_atomic_core_psalm,0.13864483493077742,0.18845557642133753,0.1394081614855134,0.2531196939187027,0.13986190635298765,0.2540212055057454,0.28650381595687385,0.13892327195265647,0.4672794124611646,0.13482676143029904,0.4551770682034885,0.5988081437439232,0.5478207149674438,0.6506894463321871,0.5482454352755345,0.6520112833641459,1000,147
morph_full_all,0.13864483493077742,0.21016474595730347,0.15368473978585898,0.28798653671482627,0.15388013053861682,0.28808755060702573,0.37754083765234697,0.21255879738582342,0.548310620845365,0.21157783971243527,0.545179409921019,0.6300899280582212,0.5752474051812164,0.6829547283557967,0.5758824162867595,0.6837152013667224,1000,147
morph_full_all_psalm,0.13864483493077742,0.21588839456543063,0.1580584762473319,0.2977485542679343,0.15798189057569656,0.29773098167032636,0.4108580516628525,0.2387254434204744,0.602392773525869,0.23252625613936617,0.5917356873553002,0.6363680610658002,0.5768878264407146,0.6932006653119854,0.5776120075315339,0.6932217659499906,1000,147
morph_gn_1_2_3gram,0.13864483493077742,0.15880281765232396,0.1266113925837342,0.1964507851616386,0.1276736023180459,0.19869484920964792,0.1277576043093358,-0.02919447181006398,0.2601557888122948,-0.024073770939110724,0.2711753196876373,0.5447337844049639,0.5023145887082912,0.585234904482264,0.5026713436476948,0.585812802486465,1000,147
morph_gn_1_2_3gram_psalm,0.13864483493077742,0.16914654744586655,0.13315004767038324,0.21299678659847662,0.13478966808571122,0.2144300188764008,0.1505605694929312,-0.02787592502063913,0.2788279491643049,0.0007630527193406068,0.29601041429456837,0.560373470898223,0.512790544947769,0.5984374453348063,0.5183757524740018,0.6051167026683434,1000,147
morph_gn_1_2gram,0.13864483493077742,0.15531792218887344,0.1240539475711896,0.19472203985778447,0.12565433139894316,0.1955526631285175,0.10928256225889074,-0.06189387118011456,0.244138801109434,-0.04292686481815392,0.2637397282879416,0.5391504476741316,0.49624661419937943,0.5818361293993554,0.49854976533206896,0.5829303068345076,1000,147
morph_gn_1_2gram_psalm,0.13864483493077742,0.16443018284853383,0.13048194384318154,0.20684681634086566,0.13131702880385804,0.20905696991984968,0.1507482272105386,-0.024993032060783793,0.2826685143931123,0.0014695661977897905,0.29717404596692565,0.5596615727429146,0.5152117786182505,0.6010779370474995,0.5194501848325209,0.605859694801982,1000,147
morph_gn_1gram,0.13864483493077742,0.15273079747769674,0.12179216016050037,0.19383687780736186,0.12195581983975398,0.19562966580909957,0.09677966422605594,-0.08970238240156606,0.23624941059059462,-0.06422742575822664,0.26176135176129567,0.5380296254247137,0.4906348950946357,0.5810992487350142,0.4966697302900788,0.5849103104778425,1000,147
morph_gn_1gram_psalm,0.13864483493077742,0.15921280590809467,0.12442358374044,0.2034485099361246,0.1263050924156589,0.205204205020367,0.12880267823604352,-0.05110785829068894,0.26573302354415185,-0.022126795305786717,0.28508218408189523,0.55073850993966,0.5067844742312038,0.595432376936506,0.5097331357763545,0.5997188967766707,1000,147
morph_gn_sp_plus,0.13864483493077742,0.17131309337195041,0.12990504030572061,0.22654398835873074,0.1313083115917743,0.22951198957439733,0.1783835874768493,-0.002187596737182995,0.3221475452856699,0.013056283589510113,0.33392715493631103,0.5680516950094752,0.5202416118209471,0.6139958280778938,0.521558198454051,0.6159910916248428,1000,147
