model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
morph_suffix_1gram,2083,12941,0.13864483493077742,0.2186682250229388,0.3516826520796764,-0.05873576420930426,0.4104184162889807,0.6440528143107332,1.835596184095988e-99
morph_suffix_1gram_psalm,2083,12941,0.13864483493077742,0.21726122756964944,0.3605027409621611,-0.06045837500753981,0.4209611159697009,0.6451414360599528,6.148021916615675e-101
morph_full_all_psalm,2083,12941,0.13864483493077742,0.21588839456543063,0.3506786631560558,-0.0601795171404374,0.4108581802964932,0.6363680610658002,2.3006820683690978e-89
morph_suffix_host_plus_suffix,2083,12941,0.13864483493077742,0.21097935284435215,0.3040454459749128,-0.05223163339189372,0.3562770793668065,0.6248424336410942,2.98202835381869e-75
morph_full_all,2083,12941,0.13864483493077742,0.21016474595730347,0.32237425372430933,-0.05516652019623475,0.3775407739205441,0.6300899280582212,1.5950394400247786e-81
morph_suffix_host_plus_suffix_psalm,2083,12941,0.13864483493077742,0.20968350306204958,0.3430291690165439,-0.059268703198608164,0.40229787221515206,0.6302760083681236,9.454898626395635e-82
morph_suffix_posmean,2083,12941,0.13864483493077742,0.20417386252478645,0.40469648642432565,-0.07006178643500387,0.47475827285932953,0.6379427323007335,2.1754440287477484e-91
morph_prs_gn_1gram_psalm,2083,12941,0.13864483493077742,0.19871732619701662,0.33767689978644005,-0.05652944747789125,0.3942063472643313,0.6256695747156034,3.1839581855557974e-76
morph_prs_gn_sp_plus,2083,12941,0.13864483493077742,0.1981436000002102,0.3162961568940888,-0.05397118614511805,0.37026734303920683,0.6178619735946254,2.627919680809108e-67
morph_prs_gn_sp_plus_psalm,2083,12941,0.13864483493077742,0.19777440645248354,0.32525252585256914,-0.055815351612469116,0.38106787746503823,0.6129279703375521,5.774604130571188e-62
morph_suffix_1_2gram_psalm,2083,12941,0.13864483493077742,0.1976898246140097,0.3385335328872258,-0.057083804302560034,0.39561733718978587,0.6260476523628064,1.1396208388285989e-76
morph_prs_ps_sp_plus,2083,12941,0.13864483493077742,0.1946717838182377,0.30133073015775497,-0.05164887856477969,0.35297960872253464,0.610214540284254,4.005079174135366e-59
morph_prs_gn_1gram,2083,12941,0.13864483493077742,0.1944439683769388,0.32743678281490934,-0.05470693161651451,0.38214371443142386,0.6228312749806603,6.459125731401895e-73
morph_suffix_1_2gram,2083,12941,0.13864483493077742,0.19421754374166303,0.33801375592915556,-0.056765781673027094,0.39477953760218265,0.6241722700050523,1.8071579255013317e-74
morph_prs_nu_sp_plus,2083,12941,0.13864483493077742,0.19406464599313727,0.2987336362584227,-0.050822008569635355,0.34955564482805807,0.609682490083971,1.417914216991618e-58
morph_prs_ps_sp_plus_psalm,2083,12941,0.13864483493077742,0.19371899959182826,0.3119416428255558,-0.0537523419901971,0.3656939848157529,0.6074912794330842,2.426816157394793e-56
morph_prs_nu_sp_plus_psalm,2083,12941,0.13864483493077742,0.19192358995532044,0.2942232374916783,-0.050532620734862845,0.34475585822654115,0.6026155746622573,1.5636899371403926e-51
morph_prs_ps_1gram,2083,12941,0.13864483493077742,0.18955589505097437,0.28424968814318813,-0.04780602209537307,0.3320557102385612,0.6086718469654163,1.539225515913861e-57
morph_atomic_core_psalm,2083,12941,0.13864483493077742,0.18845557642133753,0.24381379212475593,-0.04269002089027395,0.28650381301502986,0.5988081437439232,6.247191843565323e-48
morph_prs_ps_1gram_psalm,2083,12941,0.13864483493077742,0.18817721309180607,0.2921561184287629,-0.049212483214072844,0.3413686016428357,0.6099124936568168,8.215344948380398e-59
morph_prs_nu_1gram,2083,12941,0.13864483493077742,0.18696647595548826,0.2761650027492296,-0.045991452083263086,0.3221564548324927,0.6014397184934336,2.0932500935880806e-50
morph_st_sp_plus,2083,12941,0.13864483493077742,0.18655552369231523,0.25306823965580194,-0.04346259524786529,0.2965308349036672,0.5944907911948548,5.204044164289173e-44
morph_prs_nu_1gram_psalm,2083,12941,0.13864483493077742,0.18646718819214514,0.260826874760912,-0.04380139825453764,0.30462827301544965,0.5954798436554424,6.81524065026551e-45
morph_atomic_core,2083,12941,0.13864483493077742,0.18542938337773313,0.21065088897959022,-0.03695815435841405,0.24760904333800426,0.5891964428240981,1.9388066578080028e-39
morph_prs_gn_1_2gram_psalm,2083,12941,0.13864483493077742,0.18359742394167378,0.30315146587240355,-0.05109302068540743,0.354244486557811,0.6053818684399596,3.110325893452732e-54
morph_suffix_1_2_3gram_psalm,2083,12941,0.13864483493077742,0.1835772261893932,0.29562836958621747,-0.05028382351393301,0.3459121931001505,0.6051499358048898,5.272654090945303e-54
morph_st_sp_plus_psalm,2083,12941,0.13864483493077742,0.18328921647901816,0.26109350424128386,-0.04496592375242538,0.3060594279937092,0.5927985584563169,1.6061181572407437e-42
morph_vt_sp_plus_psalm,2083,12941,0.13864483493077742,0.18184661362611365,0.1991718028592126,-0.035482264444844994,0.23465406730405758,0.5793972147977028,1.1504840726854445e-31
morph_suffix_1_2_3gram,2083,12941,0.13864483493077742,0.18153664916164108,0.30055315553014383,-0.050894256985365156,0.351447412515509,0.6057607436801974,1.3100215106401362e-54
morph_vt_sp_plus,2083,12941,0.13864483493077742,0.18096154742244475,0.1751163444231329,-0.031081591027502343,0.20619793545063525,0.5750500359788654,1.6741062561613902e-28
morph_nu_sp_plus_psalm,2083,12941,0.13864483493077742,0.17899873727216664,0.22009781475235066,-0.038487119849584195,0.2585849346019349,0.5846995020014577,9.2374539545929e-36
morph_prs_gn_1_2gram,2083,12941,0.13864483493077742,0.17859513184982728,0.3052861273088057,-0.051319708621409006,0.3566058359302147,0.6042541831807068,4.005133425419394e-53
morph_ps_sp_plus,2083,12941,0.13864483493077742,0.1781453575996227,0.2044254743384677,-0.036015274810786854,0.24044074914925456,0.5768834983306007,8.150515693206784e-30
sp_1gram,2083,12941,0.13864483493077742,0.1773643073215247,0.1886695005982103,-0.03313859005084785,0.22180809064905815,0.572312585391145,1.335133531596457e-26
morph_ps_sp_plus_psalm,2083,12941,0.13864483493077742,0.1766830265047873,0.20879024124490164,-0.03719392878472907,0.24598417002963072,0.5737855356911198,1.290874103236056e-27
