genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006891461565324328,0.007608701821035474,1000,-0.0007172402557111459,0.8821178821178821
Danklied des Einzelnen,0.06937390416190134,0.06490178618891448,1000,0.004472117972986855,0.22377622377622378
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.13289545237644798,0.1409920476295611,1000,-0.008096595253113126,0.8571428571428571
Klagelied des Einzelnen,0.17727274321475073,0.16370307737214324,1000,0.013569665842607492,0.003996003996003996
Klagelied des Volkes,0.026254150191017248,0.02445466822920204,1000,0.001799481961815206,0.15984015984015984
Königspsalm,0.03409391922813222,0.030603807406697166,1000,0.003490111821435056,0.061938061938061936
Liturgie,0.04598228415669145,0.04788151131651209,1000,-0.0018992271598206392,0.8421578421578422
Mischgedicht,0.03338467339797382,0.035273932209436906,1000,-0.001889258811463089,0.6073926073926074
Thronbesteigungslied,0.02594534791963379,0.02898838794512467,1000,-0.0030430400254908806,0.3226773226773227
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.06519858430303768,0.036687637486558865,1000,0.028510946816478817,0.002997002997002997
Zionslied,0.023785550978357925,0.01819171499874762,1000,0.0055938359796103045,0.04995004995004995
prophetische Gerichtsrede,0.006060606060606061,0.006360002980843166,1000,-0.00029939692023710565,0.43456543456543456
"prophetische Schelt-, Droh- und Mahnrede",0.17100980177017042,0.02028577863673237,1000,0.15072402313343805,0.011988011988011988
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
