genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006295215664261549,0.006770962064627447,1000,-0.00047574640036589753,0.9200799200799201
Danklied des Einzelnen,0.07089090100607792,0.06680825169769176,1000,0.004082649308386158,0.23176823176823177
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.12301869321743308,0.1310732959884469,1000,-0.008054602771013802,0.9250749250749251
Klagelied des Einzelnen,0.16494326306709253,0.15992105174707819,1000,0.005022211320014347,0.06493506493506493
Klagelied des Volkes,0.0310058986702323,0.02650752929617284,1000,0.004498369374059459,0.06893106893106893
Königspsalm,0.039937437271520396,0.03301677205534053,1000,0.006920665216179865,0.013986013986013986
Liturgie,0.048555560644962456,0.05206134587341205,1000,-0.003505785228449597,0.965034965034965
Mischgedicht,0.042291185963896846,0.03451786073093898,1000,0.007773325232957866,0.07492507492507493
Thronbesteigungslied,0.055948751347760096,0.08178341365379586,1000,-0.025834662306035767,0.6493506493506493
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.0364270715344035,0.03625209940293215,1000,0.0001749721314713501,0.33966033966033965
Zionslied,0.03182405792180252,0.02158937643780903,1000,0.01023468148399349,0.022977022977022976
prophetische Gerichtsrede,0.00546448087431694,0.006798082004161976,1000,-0.001333601129845036,0.8041958041958042
"prophetische Schelt-, Droh- und Mahnrede",0.17069076446160145,0.1269150295910498,1000,0.04377573487055164,0.33266733266733267
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
