genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010910742746734186,0.01072012236752364,1000,0.00019062037921054563,0.1998001998001998
Danklied des Einzelnen,0.04355977529918366,0.04665650181901519,1000,-0.003096726519831533,0.8761238761238761
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09657189561814616,0.09294563017568636,1000,0.0036262654424598084,0.0919080919080919
Klagelied des Einzelnen,0.18753606772675324,0.1884442226558518,1000,-0.0009081549290985702,0.5484515484515484
Klagelied des Volkes,0.0336445375492226,0.02977699878088898,1000,0.003867538768333619,0.10589410589410589
Königspsalm,0.04264527745946485,0.04334280397047398,1000,-0.0006975265110091278,0.45454545454545453
Liturgie,0.04047976163427161,0.04290364752319579,1000,-0.002423885888924178,0.998001998001998
Mischgedicht,0.037771981785420954,0.03772069053323984,1000,5.1291252181111247e-05,0.4125874125874126
Thronbesteigungslied,0.02037160651604103,0.023530738380167043,1000,-0.003159131864126013,0.4255744255744256
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.05651860395498091,0.036734567062447744,1000,0.019784036892533163,0.026973026973026972
Zionslied,0.024902503711328017,0.018491685562905365,1000,0.006410818148422651,0.028971028971028972
prophetische Gerichtsrede,0.004347826086956522,0.003985046459419198,1000,0.0003627796275373239,0.03696303696303696
"prophetische Schelt-, Droh- und Mahnrede",0.029363925993380693,0.013888883610097607,1000,0.015475042383283085,0.054945054945054944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
