genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011113388871815387,0.012354323555713498,1000,-0.0012409346838981108,0.29270729270729273
Danklied des Einzelnen,0.05201258917272007,0.04671270532956754,1000,0.005299883843152532,0.03896103896103896
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.13883901612822414,0.15000878370822063,1000,-0.011169767579996492,0.988011988011988
Klagelied des Einzelnen,0.22934727330546548,0.23161496393133416,1000,-0.002267690625868679,0.5734265734265734
Klagelied des Volkes,0.0244700085541393,0.0306379484805926,1000,-0.0061679399264533,0.98001998001998
Königspsalm,0.029148111927028,0.029037049383866958,1000,0.0001110625431610425,0.45054945054945056
Liturgie,0.05752341336892341,0.05482083311722049,1000,0.0027025802517029185,0.052947052947052944
Mischgedicht,0.03657388070062166,0.0412610690033296,1000,-0.004687188302707937,0.8671328671328671
Thronbesteigungslied,0.03795631862810513,0.036649561670164914,1000,0.0013067569579402194,0.3116883116883117
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.041062559011319034,0.04745748898600863,1000,-0.0063949299746895935,0.7172827172827173
Zionslied,0.0189972233091793,0.020148533528424835,1000,-0.001151310219245534,0.7912087912087912
prophetische Gerichtsrede,0.003952569169960474,0.004061088065868424,1000,-0.00010851889590794955,0.6563436563436563
"prophetische Schelt-, Droh- und Mahnrede",0.1713895713895714,0.03405187728928391,1000,0.13733769410028748,0.008991008991008992
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
