genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.015724439227505306,0.016330040094994096,1000,-0.0006056008674887904,0.2947052947052947
Danklied des Einzelnen,0.05221548936627668,0.04812052896516342,1000,0.004094960401113262,0.09090909090909091
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1505591057317257,0.15582655405251433,1000,-0.005267448320788626,0.8291708291708292
Klagelied des Einzelnen,0.2498295416057034,0.24652513480614163,1000,0.00330440679956176,0.35264735264735264
Klagelied des Volkes,0.025226196660714385,0.028417895964878512,1000,-0.003191699304164127,0.8451548451548452
Königspsalm,0.029782597268144338,0.03066619201479258,1000,-0.0008835947466482412,0.6483516483516484
Liturgie,0.05956734590926366,0.05817001950009272,1000,0.0013973264091709375,0.1998001998001998
Mischgedicht,0.05077388559930748,0.04388092084563835,1000,0.0068929647536691355,0.12387612387612387
Thronbesteigungslied,0.03412411943320927,0.036214144278260266,1000,-0.0020900248450509973,0.5844155844155844
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.042353685036697925,0.04536804465971654,1000,-0.003014359623018617,0.5634365634365635
Zionslied,0.01993959246144567,0.02085364172433308,1000,-0.0009140492628874099,0.7172827172827173
prophetische Gerichtsrede,0.0038461538461538464,0.004077136517650746,1000,-0.0002309826714969,0.8801198801198801
"prophetische Schelt-, Droh- und Mahnrede",0.11573179101115354,0.034053802726322684,1000,0.08167798828483086,0.03496503496503497
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
