genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.05194158894980895,0.01990249973832674,1000,0.03203908921148221,0.03796203796203796
Danklied des Einzelnen,0.04481292003059001,0.04506169420464541,1000,-0.00024877417405540225,0.5324675324675324
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.15317817477472356,0.15633000651949522,1000,-0.003151831744771655,0.7432567432567433
Klagelied des Einzelnen,0.25060237116192796,0.25198544657360356,1000,-0.0013830754116755939,0.5534465534465535
Klagelied des Volkes,0.02446299650765106,0.030940112658171544,1000,-0.006477116150520483,0.99000999000999
Königspsalm,0.027012680839521575,0.026920572740612596,1000,9.21080989089787e-05,0.42857142857142855
Liturgie,0.06289244401617095,0.05990326900721077,1000,0.0029891750089601765,0.07692307692307693
Mischgedicht,0.043425698632368365,0.04187289479488975,1000,0.0015528038374786127,0.3246753246753247
Thronbesteigungslied,0.046852216807682805,0.0584824665803631,1000,-0.011630249772680297,0.6423576423576424
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.040236328130130464,0.04069989305758929,1000,-0.00046356492745882466,0.44155844155844154
Zionslied,0.028618342290090283,0.030684759551888242,1000,-0.0020664172617979593,0.7362637362637363
prophetische Gerichtsrede,0.0037174721189591076,0.003809527089030789,1000,-9.205497007168124e-05,0.6773226773226774
"prophetische Schelt-, Droh- und Mahnrede",0.08773620559334845,0.03565943405431891,1000,0.052076771539029544,0.06593406593406594
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
