genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011270937724375808,0.014220259694946264,1000,-0.002949321970570457,0.3046953046953047
Danklied des Einzelnen,0.060966740950328835,0.046612829155922554,1000,0.01435391179440628,0.01898101898101898
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.12300620377534188,0.1308821124515315,1000,-0.007875908676189619,0.9690309690309691
Klagelied des Einzelnen,0.2148273784091727,0.21588392628025707,1000,-0.0010565478710843623,0.5394605394605395
Klagelied des Volkes,0.03308740156161136,0.04062982176922509,1000,-0.007542420207613733,0.8131868131868132
Königspsalm,0.03530288602342725,0.03354322370421156,1000,0.0017596623192156907,0.23276723276723277
Liturgie,0.05554376429096286,0.05364584467013206,1000,0.0018979196208308013,0.15084915084915085
Mischgedicht,0.0428347458931351,0.03854032591979006,1000,0.004294419973345044,0.15784215784215785
Thronbesteigungslied,0.03743539989364263,0.03465176322797432,1000,0.002783636665668311,0.22577422577422576
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04024946811876892,0.04477603093017998,1000,-0.004526562811411061,0.5824175824175825
Zionslied,0.020676583719902376,0.02283955565722554,1000,-0.002162971937323163,0.7772227772227772
prophetische Gerichtsrede,0.0035714285714285713,0.0036062640594873015,1000,-3.4835488058730137e-05,0.5784215784215784
"prophetische Schelt-, Droh- und Mahnrede",0.0600077429345722,0.03811434994619525,1000,0.021893392988376947,0.14485514485514486
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
