genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01520568893507334,0.017237221486437013,1000,-0.0020315325513636726,0.4275724275724276
Danklied des Einzelnen,0.044067473005100485,0.04502609586838115,1000,-0.0009586228632806615,0.5704295704295704
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.13117177928154847,0.1369330810939394,1000,-0.005761301812390929,0.8801198801198801
Klagelied des Einzelnen,0.22314105913137172,0.22420116445687482,1000,-0.0010601053255031023,0.5354645354645354
Klagelied des Volkes,0.03329582169277968,0.03962886932164006,1000,-0.006333047628860382,0.8211788211788211
Königspsalm,0.0390483915246051,0.03429091207136789,1000,0.004757479453237207,0.08591408591408592
Liturgie,0.06187925938273393,0.05909768009672001,1000,0.00278157928601392,0.14085914085914086
Mischgedicht,0.03513771516670645,0.034679121206177416,1000,0.0004585939605290315,0.40559440559440557
Thronbesteigungslied,0.06906893560075321,0.061705697084393774,1000,0.0073632385163594355,0.32167832167832167
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03162766324165262,0.03218134811935019,1000,-0.0005536848776975661,0.6113886113886113
Zionslied,0.026446558334988157,0.031398645828690876,1000,-0.0049520874937027184,0.8361638361638362
prophetische Gerichtsrede,0.003424657534246575,0.0034237432420084666,1000,9.142922381085751e-07,0.4995004995004995
"prophetische Schelt-, Droh- und Mahnrede",0.06004969607560577,0.046612229381326975,1000,0.013437466694278796,0.2517482517482518
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
