genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01171788505665635,0.01355038232818677,1000,-0.0018324972715304203,0.3006993006993007
Danklied des Einzelnen,0.044422890077568,0.04244409728834954,1000,0.0019787927892184615,0.18281718281718282
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1422675047562263,0.14965753203183324,1000,-0.007390027275606947,0.9310689310689311
Klagelied des Einzelnen,0.2266200068780877,0.2308440352707717,1000,-0.004224028392684015,0.6623376623376623
Klagelied des Volkes,0.025139857847386492,0.030012454253705755,1000,-0.004872596406319263,0.8751248751248751
Königspsalm,0.025993032066186347,0.027262986360468207,1000,-0.0012699542942818595,0.8191808191808192
Liturgie,0.05924375763382541,0.058567490794850956,1000,0.0006762668389744542,0.3356643356643357
Mischgedicht,0.033872629153533215,0.038226740565769635,1000,-0.004354111412236419,0.961038961038961
Thronbesteigungslied,0.04541276816358426,0.038370358657542354,1000,0.007042409506041909,0.11988011988011989
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.041803247731648265,0.05120668282223188,1000,-0.009403435090583619,0.7932067932067932
Zionslied,0.023503517919952248,0.02515928430847741,1000,-0.001655766388525163,0.7532467532467533
prophetische Gerichtsrede,0.004366812227074236,0.004449853625006329,1000,-8.304139793209337e-05,0.5634365634365635
"prophetische Schelt-, Droh- und Mahnrede",0.17178607178607178,0.046596002478668325,1000,0.12519006930740345,0.017982017982017984
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
