genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01781286584688796,0.01876485692007706,1000,-0.0009519910731890999,0.2917082917082917
Danklied des Einzelnen,0.047712140584657364,0.04373838410174955,1000,0.003973756482907813,0.08891108891108891
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.15214339590103407,0.1567150001549735,1000,-0.004571604253939432,0.8161838161838162
Klagelied des Einzelnen,0.24540184608756532,0.24627689302456066,1000,-0.0008750469369953329,0.5204795204795205
Klagelied des Volkes,0.024667083449020594,0.027392091949473715,1000,-0.002725008500453121,0.8611388611388612
Königspsalm,0.02662525947758105,0.02800435095291268,1000,-0.0013790914753316307,0.8201798201798202
Liturgie,0.061463471429420186,0.06173743481767652,1000,-0.00027396338825633193,0.4995004995004995
Mischgedicht,0.03364037530286506,0.03696907822804759,1000,-0.0033287029251825306,0.9240759240759241
Thronbesteigungslied,0.03816851582783211,0.03752382349718144,1000,0.0006446923306506688,0.3926073926073926
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04246945480420847,0.05286895303751868,1000,-0.010399498233310212,0.8751248751248751
Zionslied,0.024199466250161575,0.02785350791800528,1000,-0.003654041667843704,0.8901098901098901
prophetische Gerichtsrede,0.004329004329004329,0.0046930631552735596,1000,-0.00036405882626923056,0.8331668331668332
"prophetische Schelt-, Droh- und Mahnrede",0.11631512695342482,0.05669562833573929,1000,0.05961949861768553,0.1088911088911089
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
