genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.03780068793452021,0.024439868386459614,1000,0.013360819548060596,0.1258741258741259
Danklied des Einzelnen,0.042164265552316754,0.04198195306822493,1000,0.0001823124840918261,0.4325674325674326
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14389658920515683,0.14774001703645154,1000,-0.00384342783129471,0.8461538461538461
Klagelied des Einzelnen,0.24005527424391054,0.2468205616662176,1000,-0.006765287422307059,0.8091908091908092
Klagelied des Volkes,0.025503312801718078,0.024663785296005002,1000,0.0008395275057130752,0.17482517482517482
Königspsalm,0.02492955458889084,0.02604857010692636,1000,-0.0011190155180355217,0.8611388611388612
Liturgie,0.06118764274411978,0.06068519622688679,1000,0.0005024465172329892,0.36563436563436563
Mischgedicht,0.0307419424621319,0.033440391556119164,1000,-0.0026984490939872645,0.929070929070929
Thronbesteigungslied,0.0663198657428507,0.0614665726342868,1000,0.0048532931085639025,0.33966033966033965
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03831883227445205,0.04049671455516186,1000,-0.0021778822807098086,0.8091908091908092
Zionslied,0.038145861844454565,0.047857759408066386,1000,-0.009711897563611821,0.9440559440559441
prophetische Gerichtsrede,0.0041841004184100415,0.004317261300899334,1000,-0.0001331608824892928,0.6443556443556444
"prophetische Schelt-, Droh- und Mahnrede",0.1719400669551727,0.06889151775050806,1000,0.10304854920466464,0.04795204795204795
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
