genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011222163351092213,0.013024977889354658,1000,-0.0018028145382624448,0.4755244755244755
Danklied des Einzelnen,0.0475308313404284,0.048256940485372074,1000,-0.0007261091449436707,0.5654345654345654
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.12697654520328458,0.12293762457919817,1000,0.004038920624086409,0.15584415584415584
Klagelied des Einzelnen,0.19339724078365855,0.19328442007501304,1000,0.00011282070864551685,0.46553446553446554
Klagelied des Volkes,0.026803667640477247,0.028752330295934943,1000,-0.0019486626554576954,0.7522477522477522
Königspsalm,0.02775851545856766,0.02671750925867409,1000,0.001041006199893571,0.17682317682317683
Liturgie,0.046019246169899705,0.044702994054249996,1000,0.001316252115649709,0.11788211788211789
Mischgedicht,0.029949386777392985,0.029335058994030275,1000,0.0006143277833627094,0.3076923076923077
Thronbesteigungslied,0.0681066015593239,0.04387024750866522,1000,0.024236354050658673,0.06293706293706294
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.036871734923864835,0.03893341737706319,1000,-0.002061682453198356,0.7272727272727273
Zionslied,0.04169522244250649,0.032552099652993376,1000,0.009143122789513111,0.0919080919080919
prophetische Gerichtsrede,0.012048192771084338,0.008238269850482871,1000,0.003809922920601467,0.053946053946053944
"prophetische Schelt-, Droh- und Mahnrede",0.021959333887493833,0.028962323061024465,1000,-0.007002989173530632,0.37362637362637363
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
