genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01012073234662621,0.00959374602585617,1000,0.0005269863207700409,0.26673326673326675
Danklied des Einzelnen,0.03923061679324236,0.0440220218825264,1000,-0.004791405089284044,0.989010989010989
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.12669930542987404,0.12393202249007165,1000,0.0027672829398023846,0.22877122877122877
Klagelied des Einzelnen,0.201603459549282,0.1998631685075463,1000,0.0017402910417357031,0.35264735264735264
Klagelied des Volkes,0.025481100816598462,0.02920013161393065,1000,-0.003719030797332188,0.939060939060939
Königspsalm,0.026933990079791,0.025469527893355482,1000,0.0014644621864355195,0.0899100899100899
Liturgie,0.051537789616935795,0.04817913632583085,1000,0.003358653291104942,0.028971028971028972
Mischgedicht,0.02587602756378421,0.027367270312380572,1000,-0.0014912427485963622,0.5324675324675324
Thronbesteigungslied,0.10058219751872641,0.0703912774568147,1000,0.030190920061911708,0.14485514485514486
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028665481000169545,0.03078103437355598,1000,-0.0021155533733864355,0.8601398601398601
Zionslied,0.05078954011959652,0.03955347305726707,1000,0.01123606706232945,0.0899100899100899
prophetische Gerichtsrede,0.010416666666666666,0.0067984338310699225,1000,0.0036182328355967436,0.015984015984015984
"prophetische Schelt-, Droh- und Mahnrede",0.015399897001899504,0.019889880258158434,1000,-0.00448998325625893,0.3926073926073926
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
