genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.013703100831141731,0.01634199182840806,1000,-0.00263889099726633,0.26673326673326675
Danklied des Einzelnen,0.04724625639431751,0.045260436893597475,1000,0.0019858195007200347,0.2097902097902098
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14655252903015606,0.1541594083925832,1000,-0.007606879362427155,0.9500499500499501
Klagelied des Einzelnen,0.2790082707169999,0.2834416808957586,1000,-0.004433410178758701,0.6143856143856143
Klagelied des Volkes,0.03782174841452157,0.038332517918333114,1000,-0.0005107695038115423,0.3386613386613387
Königspsalm,0.02766888302215323,0.029010660090656434,1000,-0.0013417770685032054,0.8051948051948052
Liturgie,0.06257271891586816,0.06180791733030844,1000,0.0007648015855597212,0.31368631368631367
Mischgedicht,0.033400840449719874,0.03534678500596647,1000,-0.0019459445562465955,0.7992007992007992
Thronbesteigungslied,0.042983899909626706,0.040418732123352175,1000,0.0025651677862745317,0.26673326673326675
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04621647649627184,0.055382690792254635,1000,-0.009166214295982793,0.7702297702297702
Zionslied,0.02152235224707473,0.023488185801790778,1000,-0.0019658335547160476,0.903096903096903
prophetische Gerichtsrede,0.004132231404958678,0.004274951818397493,1000,-0.00014272041343881513,0.6833166833166833
"prophetische Schelt-, Droh- und Mahnrede",0.07201692564011404,0.05310559296231144,1000,0.0189113326778026,0.19480519480519481
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
