genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010851241617219953,0.008373454046192469,1000,0.0024777875710274844,0.057942057942057944
Danklied des Einzelnen,0.045104669877873746,0.0485456971697881,1000,-0.003441027291914353,0.7952047952047953
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10356421411405006,0.1052643437199617,1000,-0.001700129605911635,0.6493506493506493
Klagelied des Einzelnen,0.17229082205758597,0.16970519457977695,1000,0.0025856274778090216,0.2777222777222777
Klagelied des Volkes,0.024985568141670536,0.028305804619858023,1000,-0.003320236478187487,0.8921078921078921
Königspsalm,0.03302996792872843,0.033863868102527436,1000,-0.0008339001737990084,0.5534465534465535
Liturgie,0.04409667815559108,0.04608813439594767,1000,-0.0019914562403565914,0.9150849150849151
Mischgedicht,0.029767418458749625,0.02740126448219691,1000,0.0023661539765527165,0.07292707292707293
Thronbesteigungslied,0.027122979015963958,0.01789677237524203,1000,0.009226206640721928,0.03896103896103896
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.038785939788739766,0.04818235447490556,1000,-0.009396414686165797,0.8721278721278721
Zionslied,0.024630250735104824,0.020187252423834408,1000,0.004442998311270416,0.09290709290709291
prophetische Gerichtsrede,0.0078125,0.013442118833200827,1000,-0.005629618833200827,0.7922077922077922
"prophetische Schelt-, Droh- und Mahnrede",0.010957727367234604,0.02050896088596324,1000,-0.009551233518728636,0.7002997002997003
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
