genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010265016514406524,0.01500293582159848,1000,-0.004737919307191956,0.6443556443556444
Danklied des Einzelnen,0.043932553666388076,0.049344470860895495,1000,-0.005411917194507419,0.932067932067932
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1118785624449257,0.113463840099131,1000,-0.001585277654205311,0.6063936063936064
Klagelied des Einzelnen,0.18575289651939367,0.18099525689750753,1000,0.004757639621886134,0.1798201798201798
Klagelied des Volkes,0.024421014405857117,0.02735847956508049,1000,-0.0029374651592233743,0.8181818181818182
Königspsalm,0.053783810564080735,0.04075217651831456,1000,0.013031634045766176,0.08591408591408592
Liturgie,0.050124537357197435,0.047229513973492385,1000,0.0028950233837050504,0.053946053946053944
Mischgedicht,0.02717986117169708,0.028893738535135584,1000,-0.001713877363438504,0.7752247752247752
Thronbesteigungslied,0.03693492314193402,0.027997001669092456,1000,0.008937921472841566,0.15484515484515485
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028405209910915146,0.030567874380052318,1000,-0.0021626644691371717,0.8191808191808192
Zionslied,0.032591592816386974,0.028928744109345463,1000,0.003662848707041512,0.1958041958041958
prophetische Gerichtsrede,0.025,0.010923400073676518,1000,0.014076599926323484,0.03896103896103896
"prophetische Schelt-, Droh- und Mahnrede",0.012876743139901033,0.012366644030505547,1000,0.0005100991093954857,0.2047952047952048
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
