genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008101535086636306,0.007870562469208815,1000,0.0002309726174274905,0.3176823176823177
Danklied des Einzelnen,0.04461182746053462,0.05180767395699867,1000,-0.007195846496464056,0.965034965034965
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10807242397076135,0.10970550527598183,1000,-0.0016330813052204823,0.6243756243756243
Klagelied des Einzelnen,0.19978820997170393,0.19139711513992927,1000,0.008391094831774665,0.11888111888111888
Klagelied des Volkes,0.020518924118000815,0.024460042153250858,1000,-0.003941118035250043,0.951048951048951
Königspsalm,0.03555026670281985,0.03630031748704144,1000,-0.0007500507842215925,0.4975024975024975
Liturgie,0.0555666928036468,0.05173406659958365,1000,0.003832626204063154,0.07892107892107893
Mischgedicht,0.02476341849607449,0.02508835261024047,1000,-0.00032493411416598117,0.5934065934065934
Thronbesteigungslied,0.048377270775618764,0.039358544750577866,1000,0.009018726025040898,0.2177822177822178
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02350668859503198,0.024393174897103072,1000,-0.0008864863020710927,0.7062937062937062
Zionslied,0.041999907331197316,0.03843207169100751,1000,0.0035678356401898023,0.2957042957042957
prophetische Gerichtsrede,0.011494252873563218,0.008160190183108079,1000,0.0033340626904551397,0.13986013986013987
"prophetische Schelt-, Droh- und Mahnrede",0.011919691969196917,0.008125061867244697,1000,0.0037946301019522195,0.04695304695304695
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
