genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008767518900558647,0.00866169105122603,1000,0.00010582784933261744,0.3726273726273726
Danklied des Einzelnen,0.0469448053613337,0.050886261728344935,1000,-0.003941456367011237,0.97002997002997
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1006386881864664,0.10899046568384263,1000,-0.008351777497376228,1.0
Klagelied des Einzelnen,0.21327494259460256,0.1927301696309304,1000,0.02054477296367216,0.000999000999000999
Klagelied des Volkes,0.02164547197565183,0.023283440741397925,1000,-0.001637968765746095,0.9530469530469531
Königspsalm,0.03712194765072675,0.034862373226392296,1000,0.0022595744243344568,0.16083916083916083
Liturgie,0.040578361832284415,0.04076828804921185,1000,-0.00018992621692743433,0.5964035964035964
Mischgedicht,0.04076199331608048,0.04000186418570415,1000,0.0007601291303763261,0.36663336663336665
Thronbesteigungslied,0.05818407673109535,0.025267395853256994,1000,0.03291668087783836,0.006993006993006993
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027108714377431724,0.027348314421073203,1000,-0.00023960004364147885,0.5684315684315684
Zionslied,0.019704030366851547,0.02337562513537118,1000,-0.0036715947685196336,0.7462537462537463
prophetische Gerichtsrede,0.006172839506172839,0.007043809661319606,1000,-0.0008709701551467665,0.7772227772227772
"prophetische Schelt-, Droh- und Mahnrede",0.11565055315055314,0.008723171673797285,1000,0.10692738147675586,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
