genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011068410811000535,0.007300989683524065,1000,0.0037674211274764694,0.008991008991008992
Danklied des Einzelnen,0.044178345404479194,0.047197807437584026,1000,-0.003019462033104832,0.926073926073926
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10007458846199863,0.10573610194894534,1000,-0.005661513486946712,0.991008991008991
Klagelied des Einzelnen,0.21375007723383654,0.19972182953853854,1000,0.014028247695298007,0.002997002997002997
Klagelied des Volkes,0.02359766335350917,0.024239865027460263,1000,-0.0006422016739510913,0.6283716283716284
Königspsalm,0.03416968754673879,0.033622399134596935,1000,0.0005472884121418553,0.3826173826173826
Liturgie,0.04370900214846256,0.0443391892726485,1000,-0.0006301871241859436,0.6963036963036963
Mischgedicht,0.04353473913700895,0.04065849032505135,1000,0.0028762488119575963,0.1258741258741259
Thronbesteigungslied,0.028019940106609152,0.027527274171367425,1000,0.0004926659352417276,0.3726273726273726
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027790918717514112,0.027773744574413735,1000,1.7174143100377043e-05,0.4035964035964036
Zionslied,0.019981353630210988,0.04233987069051021,1000,-0.022358517060299225,0.996003996003996
prophetische Gerichtsrede,0.008064516129032258,0.00822837264362293,1000,-0.00016385651459067258,0.5074925074925075
"prophetische Schelt-, Droh- und Mahnrede",0.17090453406242878,0.037740823204188485,1000,0.1331637108582403,0.04895104895104895
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
