model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
f2llm_v2_14b_vocalized,2083,12941,0.13864483493077742,0.28279646041340667,0.5127237760649924,-0.08777323887309275,0.6004970149380852,0.6899882375430899,2.5696431442493624e-171
f2llm_v2_14b_cantillation,2083,12941,0.13864483493077742,0.2810523804999299,0.5122785595739353,-0.08764813584946204,0.5999266954233974,0.6889655006882857,1.6752748059331127e-169
berel_consonantal,2083,12941,0.13864483493077742,0.2586341839249733,0.38758348793645814,-0.06676108280723154,0.45434457074368967,0.6569704827140629,1.1167381164708393e-117
kalm_embedding_gemma3_12b_2511_cantillation,2083,12941,0.13864483493077742,0.25457282406341114,0.3379493558078709,-0.05812734257371452,0.39607669838158543,0.658194287208355,1.7436434188483549e-119
gemini_embedding_2_cantillation,2083,12941,0.13864483493077742,0.2509833802811802,0.32389078407074795,-0.056614592755356,0.38050537682610397,0.6407288175149056,5.003239746394855e-95
gemini_embedding_2_vocalized,2083,12941,0.13864483493077742,0.24877672779767823,0.3321548900444757,-0.05797481959043737,0.39012970963491306,0.6403909719442755,1.3941042165865047e-94
harrier_oss_v1_27b_cantillation,2083,12941,0.13864483493077742,0.24327302802640433,0.3228863683177454,-0.05596101887986075,0.3788473871976062,0.6468109281226593,3.200046493246445e-103
f2llm_v2_14b_consonantal,2083,12941,0.13864483493077742,0.2431597948398392,0.40754186557182975,-0.07051153889090038,0.47805340446273015,0.6640784092567089,2.2938217921208189e-128
bge_multilingual_gemma2_cantillation,2083,12941,0.13864483493077742,0.24211156111494564,0.3698697264671528,-0.06391168571595408,0.4337814121831069,0.6547871181527982,1.7225321764054368e-114
kalm_embedding_gemma3_12b_2511_vocalized,2083,12941,0.13864483493077742,0.24207556606943492,0.3142214546893341,-0.05421599454427899,0.3684374492336131,0.6487671456070635,6.256023605895082e-106
gemini_embedding_2_consonantal,2083,12941,0.13864483493077742,0.23730479315072772,0.2928410594676013,-0.05124898738633697,0.3440900468539383,0.6333109055118241,1.682400218471397e-85
bge_multilingual_gemma2_vocalized,2083,12941,0.13864483493077742,0.2367185754823466,0.35221721449007953,-0.0610500122890158,0.41326722677909533,0.6510552359886739,3.824508395837276e-109
harrier_oss_v1_27b_vocalized,2083,12941,0.13864483493077742,0.23643383852027916,0.2945537444405878,-0.05119099113189118,0.345744735572479,0.6401797767281123,2.642176627774804e-94
openai_text_embedding_3_large_cantillation,2083,12941,0.13864483493077742,0.2290351267299135,0.3692163639571874,-0.06409432616787786,0.43331069012506523,0.6447615591912526,2.017020261101414e-100
neodictabert_consonantal,2083,12941,0.13864483493077742,0.2284007646580948,0.3506179084384918,-0.06212448051743853,0.4127423889559303,0.6332719903911926,1.881715709061781e-85
qwen3_embedding_8b_vocalized,2083,12941,0.13864483493077742,0.22728692412395943,0.32854751295986134,-0.05728421287144567,0.385831725831307,0.6378186045660977,3.1474528991007224e-91
qwen3_embedding_8b_cantillation,2083,12941,0.13864483493077742,0.22610732781582937,0.32461677420502466,-0.05664927785190479,0.3812660520569294,0.6347190096431966,2.8641316381322597e-87
openai_text_embedding_3_large_vocalized,2083,12941,0.13864483493077742,0.22359025213677333,0.34042757853932687,-0.059468756010667194,0.39989633454999407,0.6367688608401593,7.060006970976479e-90
voyage_4_vocalized,2083,12941,0.13864483493077742,0.21967787146166923,0.2717004978636198,-0.04766245679087224,0.31936295465449205,0.6266538972640073,2.180162384480427e-77
voyage_4_cantillation,2083,12941,0.13864483493077742,0.21917339569221755,0.27877973812415136,-0.048835841782787624,0.32761557990693896,0.6263563394159757,4.9142802199269535e-77
