genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0066648117589418725,0.006684879436625421,1000,-2.0067677683548515e-05,0.6623376623376623
Danklied des Einzelnen,0.039512284410744364,0.0402804768116922,1000,-0.0007681924009478383,0.8681318681318682
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09292944026183542,0.09303177495783109,1000,-0.00010233469599567335,0.5264735264735265
Klagelied des Einzelnen,0.1779311178616914,0.1796655630021389,1000,-0.001734445140447488,0.8571428571428571
Klagelied des Volkes,0.03912031003369881,0.03735426855611501,1000,0.0017660414775838018,0.18981018981018982
Königspsalm,0.10637903245273539,0.09311191183856395,1000,0.013267120614171443,0.002997002997002997
Liturgie,0.04816557232234513,0.04774742880751964,1000,0.0004181435148254836,0.14785214785214784
Mischgedicht,0.031755652346746835,0.034123737379644706,1000,-0.002368085032897871,0.983016983016983
Thronbesteigungslied,0.06393084245551686,0.06931473934947119,1000,-0.005383896893954326,0.3596403596403596
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028661496081590507,0.026725757598509,1000,0.0019357384830815082,0.007992007992007992
Zionslied,0.01464854523322218,0.016188552669023408,1000,-0.001540007435801228,0.922077922077922
prophetische Gerichtsrede,0.019230769230769232,0.016694873079838454,1000,0.0025358961509307776,0.04395604395604396
"prophetische Schelt-, Droh- und Mahnrede",0.02096254230482418,0.018110933516134905,1000,0.0028516087886892756,0.4925074925074925
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
