genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.018357795723433004,0.020026226396937068,1000,-0.0016684306735040635,1.0
Danklied des Einzelnen,0.035541192630684657,0.03556947084431678,1000,-2.8278213632125515e-05,0.5924075924075924
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09939690396726159,0.09895853111000581,1000,0.0004383728572557727,0.23876123876123875
Klagelied des Einzelnen,0.2191990238331039,0.21601881487747798,1000,0.0031802089556259294,0.001998001998001998
Klagelied des Volkes,0.02236137587358769,0.022260587390927667,1000,0.00010078848266002402,0.11988011988011989
Königspsalm,0.04122581715370993,0.041170534509744165,1000,5.5282643965766376e-05,0.36663336663336665
Liturgie,0.047942952218735,0.04822955076948317,1000,-0.0002865985507481683,0.9690309690309691
Mischgedicht,0.040466644600554096,0.04018470715467331,1000,0.0002819374458807866,0.21978021978021978
Thronbesteigungslied,0.029674341276957297,0.029231722784863187,1000,0.0004426184920941108,0.32667332667332666
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03311299895852236,0.034048294616826166,1000,-0.000935295658303803,0.999000999000999
Zionslied,0.018561352708149074,0.018138533845855342,1000,0.00042281886229373136,0.04395604395604396
prophetische Gerichtsrede,0.03125,0.032090917279475786,1000,-0.0008409172794757863,0.6293706293706294
"prophetische Schelt-, Droh- und Mahnrede",0.17079801190836613,0.17077432841603118,1000,2.3683492334947154e-05,0.24375624375624375
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
