genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010219217343563684,0.010696848823635892,1000,-0.0004776314800722086,0.7822177822177823
Danklied des Einzelnen,0.03307787444686808,0.03447275955491878,1000,-0.0013948851080507058,0.9340659340659341
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1023268252131786,0.09908848885045579,1000,0.0032383363627228046,0.016983016983016984
Klagelied des Einzelnen,0.19758236247310051,0.19341150018529776,1000,0.004170862287802751,0.01998001998001998
Klagelied des Volkes,0.02089940056677825,0.021570984239661684,1000,-0.0006715836728834329,0.6923076923076923
Königspsalm,0.03371025592010991,0.03448230975959997,1000,-0.0007720538394900556,0.7882117882117882
Liturgie,0.05282731416764509,0.05632508353177305,1000,-0.0034977693641279547,0.994005994005994
Mischgedicht,0.029660675503396034,0.02904480897390342,1000,0.0006158665294926126,0.24275724275724275
Thronbesteigungslied,0.015529555243689791,0.014577659667291897,1000,0.0009518955763978942,0.07292707292707293
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03385770358740521,0.03356376403944001,1000,0.000293939547965201,0.26973026973026976
Zionslied,0.03806923968157947,0.03537281126121001,1000,0.002696428420369462,0.005994005994005994
prophetische Gerichtsrede,0.012048192771084338,0.012123747232851449,1000,-7.55544617671109e-05,0.3906093906093906
"prophetische Schelt-, Droh- und Mahnrede",0.0235791346902458,0.022504982671494547,1000,0.0010741520187512524,0.13786213786213786
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
