genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008936258922967868,0.008921227751662542,1000,1.5031171305326246e-05,0.4925074925074925
Danklied des Einzelnen,0.037021811774923835,0.039107527284337126,1000,-0.002085715509413291,0.983016983016983
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10547157061324819,0.09858822606146771,1000,0.006883344551780482,0.002997002997002997
Klagelied des Einzelnen,0.24247276447677132,0.2358444043668556,1000,0.006628360109915715,0.03896103896103896
Klagelied des Volkes,0.019555657031125426,0.020254267363500646,1000,-0.0006986103323752199,0.9120879120879121
Königspsalm,0.023842403389054287,0.02407808300544716,1000,-0.0002356796163928733,0.6123876123876124
Liturgie,0.0464161691722067,0.047186224221007565,1000,-0.0007700550488008648,0.7742257742257742
Mischgedicht,0.032317936524681304,0.030420531956287876,1000,0.001897404568393428,0.03396603396603397
Thronbesteigungslied,0.026597074103403097,0.022232430848771755,1000,0.004364643254631342,0.12287712287712288
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029907130120752308,0.028984544425078702,1000,0.0009225856956736056,0.16783216783216784
Zionslied,0.06757975398199755,0.06510047066022416,1000,0.0024792833217733845,0.2907092907092907
prophetische Gerichtsrede,0.013513513513513514,0.01610626425059746,1000,-0.0025927507370839473,0.4115884115884116
"prophetische Schelt-, Droh- und Mahnrede",0.17407006139400505,0.1735490967497264,1000,0.0005209646442786431,0.7832167832167832
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
