genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.012063477440645337,0.011908207992260096,1000,0.00015526944838524168,0.2017982017982018
Danklied des Einzelnen,0.03757789714823982,0.03774531983597175,1000,-0.00016742268773192737,0.7372627372627373
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10514236787468251,0.10556649365724112,1000,-0.00042412578255861255,0.6873126873126874
Klagelied des Einzelnen,0.21723519472947014,0.2134776197274822,1000,0.0037575750019879506,0.001998001998001998
Klagelied des Volkes,0.024206897041910688,0.02475213629445184,1000,-0.0005452392525411506,0.8901098901098901
Königspsalm,0.048238126927395764,0.0475828273308702,1000,0.0006552995965255631,0.12687312687312688
Liturgie,0.053718064859022745,0.05572428574311449,1000,-0.0020062208840917473,0.995004995004995
Mischgedicht,0.03819020473907824,0.03836156048434343,1000,-0.00017135574526518788,0.6533466533466533
Thronbesteigungslied,0.03505744849852434,0.03468887381123232,1000,0.0003685746872920184,0.3546453546453546
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029475551406042157,0.029941964364270525,1000,-0.00046641295822836756,0.9230769230769231
Zionslied,0.016955961046885328,0.016927759575797764,1000,2.8201471087563323e-05,0.45554445554445555
prophetische Gerichtsrede,0.017857142857142856,0.01932946138345509,1000,-0.0014723185263122336,0.7972027972027972
"prophetische Schelt-, Droh- und Mahnrede",0.1701862681394845,0.17019496305141898,1000,-8.694911934475913e-06,0.8401598401598401
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
