genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011203194617206137,0.009286177354695953,1000,0.0019170172625101838,0.03196803196803197
Danklied des Einzelnen,0.038896565216334424,0.040719190232395445,1000,-0.001822625016061022,0.957042957042957
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09503639376357137,0.09244070130789377,1000,0.0025956924556776034,0.04595404595404595
Klagelied des Einzelnen,0.2514955517582356,0.23924228083716204,1000,0.012253270921073589,0.002997002997002997
Klagelied des Volkes,0.022498365950807266,0.023395890557396357,1000,-0.0008975246065890917,0.7052947052947053
Königspsalm,0.023976552239817792,0.024328633552016924,1000,-0.00035208131219913175,0.6963036963036963
Liturgie,0.04593140618919377,0.04858390388637369,1000,-0.0026524976971799147,0.994005994005994
Mischgedicht,0.030985205791271994,0.03367204731928929,1000,-0.002686841528017299,0.99000999000999
Thronbesteigungslied,0.05174316600583657,0.03376564686452629,1000,0.01797751914131028,0.07092907092907093
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.025966979527233282,0.02663958652941328,1000,-0.0006726070021799979,0.7922077922077922
Zionslied,0.043299544285646134,0.041571790805590654,1000,0.00172775348005548,0.25774225774225773
prophetische Gerichtsrede,0.00909090909090909,0.015279895286865245,1000,-0.006188986195956155,0.7092907092907093
"prophetische Schelt-, Droh- und Mahnrede",0.17398065753891082,0.17369544231097905,1000,0.00028521522793176213,0.12987012987012986
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
