genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010130691035724396,0.01313147785211872,1000,-0.0030007868163943237,0.4405594405594406
Danklied des Einzelnen,0.05776564207177223,0.07252376590489945,1000,-0.014758123833127218,0.9820179820179821
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.0886424224529812,0.09251881700751216,1000,-0.003876394554530954,0.9530469530469531
Klagelied des Einzelnen,0.1896395610836414,0.18932884457302027,1000,0.00031071651062114514,0.4745254745254745
Klagelied des Volkes,0.029020585761597606,0.02781600235040731,1000,0.0012045834111902957,0.23576423576423577
Königspsalm,0.03077673305381042,0.026784581546823595,1000,0.003992151506986823,0.0969030969030969
Liturgie,0.053439521401180565,0.04895438068731869,1000,0.004485140713861878,0.06993006993006994
Mischgedicht,0.037930084084679315,0.03562700741990383,1000,0.0023030766647754858,0.1968031968031968
Thronbesteigungslied,0.017268856769532135,0.01590114176038137,1000,0.0013677150091507655,0.21178821178821178
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.06066307959876388,0.05082189426016889,1000,0.009841185338594988,0.13086913086913088
Zionslied,0.01689613510805469,0.02033759574964419,1000,-0.0034414606415895006,0.6003996003996004
prophetische Gerichtsrede,0.005025125628140704,0.006329755856256877,1000,-0.0013046302281161737,0.9790209790209791
"prophetische Schelt-, Droh- und Mahnrede",0.1732984465508162,0.021014305292617955,1000,0.15228414125819822,0.004995004995004995
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
