genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007157581820162408,0.007248376970074074,1000,-9.079514991166583e-05,0.4075924075924076
Danklied des Einzelnen,0.04988443433351156,0.0527208745051629,1000,-0.0028364401716513415,0.9440559440559441
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08355864880368044,0.08755385563598972,1000,-0.003995206832309278,1.0
Klagelied des Einzelnen,0.1986617605009037,0.18646762163470668,1000,0.012194138866197024,0.000999000999000999
Klagelied des Volkes,0.02989984937407933,0.033003949005407346,1000,-0.0031040996313280167,0.971028971028971
Königspsalm,0.03344300113778349,0.03651317969660151,1000,-0.0030701785588180194,0.9760239760239761
Liturgie,0.04803759421029987,0.0480343297764046,1000,3.2644338952697582e-06,0.4835164835164835
Mischgedicht,0.046491764263540125,0.046309693484995716,1000,0.00018207077854440895,0.43756243756243757
Thronbesteigungslied,0.022832451799753455,0.019143879113560625,1000,0.0036885726861928293,0.06793206793206794
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02732880102655946,0.02946649996942604,1000,-0.0021376989428665803,0.99000999000999
Zionslied,0.034523100584351034,0.031215371629500232,1000,0.003307728954850802,0.1888111888111888
prophetische Gerichtsrede,0.011494252873563218,0.009691831731202803,1000,0.0018024211423604154,0.20279720279720279
"prophetische Schelt-, Droh- und Mahnrede",0.17039972519839766,0.15886515327059797,1000,0.011534571927799692,0.24975024975024976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
