genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007361831951302243,0.007396803535086775,1000,-3.497158378453196e-05,0.42157842157842157
Danklied des Einzelnen,0.05178925986673054,0.05205700937881742,1000,-0.00026774951208688447,0.5374625374625375
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08551082580130984,0.08855422366510925,1000,-0.0030433978637994102,0.991008991008991
Klagelied des Einzelnen,0.20527876093238343,0.1969574677471405,1000,0.008321293185242912,0.005994005994005994
Klagelied des Volkes,0.029075798394017766,0.03399767720660824,1000,-0.004921878812590475,0.997002997002997
Königspsalm,0.037199818991685105,0.03842449023747805,1000,-0.0012246712457929451,0.6753246753246753
Liturgie,0.04809094939968498,0.04861033899464414,1000,-0.0005193895949591604,0.6013986013986014
Mischgedicht,0.046500286144690005,0.044902517345308014,1000,0.0015977687993819906,0.2517482517482518
Thronbesteigungslied,0.027395254451443928,0.02700242849061394,1000,0.0003928259608299879,0.3886113886113886
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.026012243795748423,0.027641540083186547,1000,-0.0016292962874381242,0.952047952047952
Zionslied,0.03401351184193557,0.035832555735623516,1000,-0.0018190438936879424,0.5764235764235764
prophetische Gerichtsrede,0.008928571428571428,0.009089859333391357,1000,-0.0001612879048199286,0.5044955044955045
"prophetische Schelt-, Droh- und Mahnrede",0.17040060468631896,0.1564586615428365,1000,0.01394194314348246,0.5694305694305695
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
