genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010479966909474045,0.010483918402334098,1000,-3.951492860053418e-06,0.40559440559440557
Danklied des Einzelnen,0.03733485808039287,0.04356728564028151,1000,-0.006232427559888641,0.998001998001998
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09474609074527468,0.0934242025458218,1000,0.001321888199452878,0.19880119880119881
Klagelied des Einzelnen,0.17251980352667845,0.1696122038776603,1000,0.0029075996490181555,0.1918081918081918
Klagelied des Volkes,0.01999132282085083,0.021628376053464314,1000,-0.0016370532326134835,0.9270729270729271
Königspsalm,0.02577527297099399,0.026443761306587328,1000,-0.0006684883355933396,0.7142857142857143
Liturgie,0.053487515679902745,0.049881199022572174,1000,0.0036063166573305702,0.04095904095904096
Mischgedicht,0.03390237892024543,0.03562707719611754,1000,-0.0017246982758721066,0.913086913086913
Thronbesteigungslied,0.014511065059782604,0.014210010883133044,1000,0.0003010541766495598,0.36063936063936064
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030454919721339853,0.03000828712233834,1000,0.00044663259900151395,0.36363636363636365
Zionslied,0.010865509577218508,0.01105103551561567,1000,-0.00018552593839716268,0.6063936063936064
prophetische Gerichtsrede,0.004901960784313725,0.00457141400993056,1000,0.00033054677438316537,0.25674325674325676
"prophetische Schelt-, Droh- und Mahnrede",0.0061894759015347885,0.006502709309983966,1000,-0.0003132334084491777,0.5844155844155844
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
