genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00789436506583132,0.007810081151544211,1000,8.42839142871088e-05,0.34465534465534464
Danklied des Einzelnen,0.05543881213187471,0.05724748467049069,1000,-0.0018086725386159824,0.8641358641358642
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08609829080645616,0.08806295209387767,1000,-0.0019646612874215097,0.99000999000999
Klagelied des Einzelnen,0.20753389021617366,0.1964217491184445,1000,0.01111214109772915,0.000999000999000999
Klagelied des Volkes,0.02475998196169251,0.027693259382803318,1000,-0.0029332774211108074,1.0
Königspsalm,0.029899592658065195,0.031066123690567472,1000,-0.001166531032502277,0.8881118881118881
Liturgie,0.044783733920312874,0.043832953802724034,1000,0.0009507801175888397,0.07192807192807193
Mischgedicht,0.03698255692764395,0.03820487144062253,1000,-0.0012223145129785853,0.8691308691308691
Thronbesteigungslied,0.05035481161695458,0.02013160409333018,1000,0.030223207523624396,0.003996003996003996
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030441900041708336,0.03303210394731817,1000,-0.002590203905609833,0.993006993006993
Zionslied,0.016147021343863692,0.01515713863233446,1000,0.0009898827115292323,0.08291708291708291
prophetische Gerichtsrede,0.007874015748031496,0.00784478778497307,1000,2.9227963058426135e-05,0.47052947052947053
"prophetische Schelt-, Droh- und Mahnrede",0.17206423431751036,0.009430111602054241,1000,0.16263412271545613,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
