genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008227214464060063,0.008339150813128575,1000,-0.00011193634906851192,0.5924075924075924
Danklied des Einzelnen,0.054629580321598294,0.05620017145817141,1000,-0.001570591136573117,0.8001998001998002
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08776323953449555,0.08974300772909674,1000,-0.001979768194601189,0.9100899100899101
Klagelied des Einzelnen,0.2143225948133377,0.20649719181770368,1000,0.007825402995634029,0.007992007992007992
Klagelied des Volkes,0.025030675324399822,0.028946428131784288,1000,-0.003915752807384466,1.0
Königspsalm,0.031619798068594954,0.0319544275660335,1000,-0.0003346294974385447,0.5884115884115884
Liturgie,0.04717799927344744,0.046699803547890835,1000,0.0004781957255566016,0.34665334665334663
Mischgedicht,0.03674356704846453,0.03660526696646425,1000,0.00013830008200027555,0.45554445554445555
Thronbesteigungslied,0.05654343334362192,0.03568157358848485,1000,0.020861859755137067,0.06993006993006994
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02894856059250685,0.032079456820943535,1000,-0.003130896228436684,0.9790209790209791
Zionslied,0.023235186655549297,0.022037083150368546,1000,0.0011981035051807504,0.25874125874125875
prophetische Gerichtsrede,0.008264462809917356,0.00909228012775969,1000,-0.0008278173178423338,0.7222777222777222
"prophetische Schelt-, Droh- und Mahnrede",0.1713184476342371,0.024233698411823937,1000,0.14708474922241316,0.001998001998001998
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
