genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004637944590103892,0.0061412557878405705,1000,-0.0015033111977366788,0.916083916083916
Danklied des Einzelnen,0.0524255826235861,0.05282188075325043,1000,-0.00039629812966433114,0.46553446553446554
Fluch,0.0016420361247947454,0.002448324359550657,1000,-0.0008062882347559116,1.0
Hymnus,0.14687825833512316,0.14097738639877502,1000,0.00590087193634814,0.000999000999000999
Klagelied des Einzelnen,0.18279527558324005,0.17692910858393543,1000,0.005866166999304617,0.000999000999000999
Klagelied des Volkes,0.05119241576029272,0.045723715343371586,1000,0.0054687004169211365,0.000999000999000999
Königspsalm,0.028092638646345834,0.02660376408621528,1000,0.0014888745601305542,0.11788211788211789
Liturgie,0.042661833923233736,0.04109180154327588,1000,0.0015700323799578558,0.1068931068931069
Mischgedicht,0.03941460077944968,0.03777250345627177,1000,0.0016420973231779101,0.15184815184815184
Thronbesteigungslied,0.026757011914219052,0.022912190211436895,1000,0.003844821702782157,0.1878121878121878
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03978278515800808,0.038081185481168005,1000,0.0017015996768400751,0.15384615384615385
Zionslied,0.023466110597586954,0.02164191344870084,1000,0.0018241971488861149,0.22977022977022976
prophetische Gerichtsrede,0.006711409395973154,0.008933323810245234,1000,-0.0022219144142720795,0.6933066933066933
"prophetische Schelt-, Droh- und Mahnrede",0.033956609324506955,0.027823497482187237,1000,0.0061331118423197176,0.14285714285714285
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012366535324802464,0.009174275604652135,1000,0.0031922597201503294,0.000999000999000999
