genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.017823419785238256,0.009487721129657836,1000,0.00833569865558042,0.023976023976023976
Danklied des Einzelnen,0.0521484091825576,0.052019987756459385,1000,0.00012842142609821583,0.3826173826173826
Fluch,0.002288329519450801,0.0024535671619694173,1000,-0.00016523764251861637,0.8321678321678322
Hymnus,0.19138529783577676,0.1909120728593844,1000,0.00047322497639235017,0.35264735264735264
Klagelied des Einzelnen,0.2432692029631234,0.2410338855093376,1000,0.002235317453785801,0.08091908091908091
Klagelied des Volkes,0.04301036713717271,0.04322902994212774,1000,-0.00021866280495502766,0.6403596403596403
Königspsalm,0.01822137936942742,0.01654667604809986,1000,0.001674703321327558,0.14185814185814186
Liturgie,0.03697017385562135,0.032503857637318744,1000,0.004466316218302603,0.001998001998001998
Mischgedicht,0.016132514144777926,0.01673826836358109,1000,-0.0006057542188031631,0.8491508491508492
Thronbesteigungslied,0.15488300775769784,0.1878103589342252,1000,-0.03292735117652737,0.9240759240759241
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.018979412947043202,0.017311085077129255,1000,0.0016683278699139471,0.17682317682317683
Zionslied,0.059726865185213876,0.057264584664638844,1000,0.0024622805205750317,0.3706293706293706
prophetische Gerichtsrede,0.125,0.03380420016183635,1000,0.09119579983816364,0.03996003996003996
"prophetische Schelt-, Droh- und Mahnrede",0.044470420423126406,0.041471584802429205,1000,0.0029988356206972003,0.22877122877122877
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.017349564194799716,0.015666115525378096,1000,0.0016834486694216194,0.11288711288711288
