model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
morph_signature_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.249620907246077,0.3078959222399517,-0.07457605615428138,0.3824719783942331,0.6049555886074338,2.555347379239529e-193
morph_suffix_posmean,8018,38765,0.17138704230169077,0.24865717816365612,0.344743207203546,-0.08084050744269584,0.42558371464624184,0.6175968076085225,4.631864892621538e-242
morph_signature_1_2gram_psalm,8018,38765,0.17138704230169077,0.24608441563827196,0.2953951555031199,-0.0710247432803609,0.3664198987834808,0.6041372280613171,2.4616128676788515e-190
morph_signature_1gram_psalm,8018,38765,0.17138704230169077,0.2450882743524681,0.2750107839659171,-0.06549455797869717,0.3405053419446143,0.6027403050346832,2.509763590674096e-185
sp_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.24402538492430073,0.2351970493207667,-0.05715203581517446,0.29234908513594116,0.5887142955179171,8.953863592970206e-139
morph_nu_sp_plus_psalm,8018,38765,0.17138704230169077,0.2438527991017381,0.23135151127591694,-0.05415572331972049,0.2855072345956374,0.5954995221154826,1.9071192696328214e-160
morph_nu_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.2396195823398627,0.23551064866769456,-0.05496371856825127,0.29047436723594583,0.5961702302284712,1.1298189900252616e-162
sp_1_2gram_psalm,8018,38765,0.17138704230169077,0.23920274795208804,0.21199352174016772,-0.05147144267666396,0.2634649644168317,0.5836858217598048,9.665265049664085e-124
morph_atomic_core_psalm,8018,38765,0.17138704230169077,0.23805723543034962,0.19848435753559227,-0.04874383122567449,0.24722818876126676,0.580903060980072,8.490826354999448e-116
morph_nu_1_2gram_psalm,8018,38765,0.17138704230169077,0.23801812227180066,0.22708453322396785,-0.052347046560489656,0.2794315797844575,0.5958731445760003,1.0998771072484135e-161
