genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004904456887360282,0.006716858955509316,1000,-0.0018124020681490336,0.965034965034965
Danklied des Einzelnen,0.04890166008150562,0.049345515094025176,1000,-0.0004438550125195548,0.6353646353646354
Fluch,0.0024096385542168677,0.002309363884382237,1000,0.0001002746698346305,0.18981018981018982
Hymnus,0.18341387269357498,0.18127165034249662,1000,0.00214222235107836,0.1848151848151848
Klagelied des Einzelnen,0.21907975407688735,0.22248579525328413,1000,-0.0034060411763967846,0.8451548451548452
Klagelied des Volkes,0.04162399249346797,0.04095212379683038,1000,0.0006718686966375939,0.21478521478521478
Königspsalm,0.016795474301956173,0.01683276254297246,1000,-3.7288241016286694e-05,0.30569430569430567
Liturgie,0.021742499874749993,0.022335430000365426,1000,-0.0005929301256154332,0.9050949050949051
Mischgedicht,0.01678522864326661,0.01727163821668948,1000,-0.00048640957342287183,0.5444555444555444
Thronbesteigungslied,0.10037494363143006,0.06893236150354604,1000,0.03144258212788402,0.05094905094905095
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.017903734210407335,0.018565482719634777,1000,-0.0006617485092274417,0.5434565434565435
Zionslied,0.015872247873712927,0.009571068437507933,1000,0.0063011794362049945,0.03696303696303696
prophetische Gerichtsrede,0.0020325203252032522,0.00196372135008237,1000,6.879897512088217e-05,0.057942057942057944
"prophetische Schelt-, Droh- und Mahnrede",0.024346310362122682,0.021457845863405774,1000,0.0028884644987169084,0.1038961038961039
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.017804918466721234,0.015586980636140647,1000,0.0022179378305805866,0.15284715284715283
