genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.012349692247121864,0.012579087366342454,1000,-0.0002293951192205903,0.29270729270729273
Danklied des Einzelnen,0.04416577794499971,0.041006598536711646,1000,0.003159179408288061,0.014985014985014986
Fluch,0.0024509803921568627,0.0024363751654875366,1000,1.4605226669326104e-05,0.4515484515484515
Hymnus,0.14743102821144755,0.15054963993163403,1000,-0.003118611720186487,0.951048951048951
Klagelied des Einzelnen,0.19029907782133693,0.1911989997355059,1000,-0.0008999219141689607,0.5934065934065934
Klagelied des Volkes,0.05602713151193017,0.057570085720600316,1000,-0.0015429542086701428,0.7892107892107892
Königspsalm,0.02124199372413409,0.022034415031619976,1000,-0.0007924213074858855,0.6613386613386614
Liturgie,0.04195020967913901,0.04131654089387664,1000,0.0006336687852623729,0.26973026973026976
Mischgedicht,0.03825923326093674,0.03472628433359771,1000,0.003532948927339033,0.25274725274725274
Thronbesteigungslied,0.03795803482757254,0.039127995686824346,1000,-0.0011699608592518063,0.3926073926073926
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03399781190418501,0.036635734310146946,1000,-0.0026379224059619386,0.6663336663336663
Zionslied,0.014562280235345653,0.015325808758214293,1000,-0.0007635285228686402,0.7142857142857143
prophetische Gerichtsrede,0.002688172043010753,0.0028302275993355402,1000,-0.00014205555632478733,0.7912087912087912
"prophetische Schelt-, Droh- und Mahnrede",0.018769734453478515,0.012829652906079193,1000,0.005940081547399322,0.01098901098901099
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010730859054140441,0.010757258853955726,1000,-2.639979981528505e-05,0.5064935064935064
