genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008468346668574355,0.011364089790460183,1000,-0.002895743121885827,0.2907092907092907
Danklied des Einzelnen,0.04380306745106051,0.03946841716464443,1000,0.004334650286416081,0.03196803196803197
Fluch,0.0049504950495049506,0.004420279802645356,1000,0.0005302152468595949,0.24375624375624375
Hymnus,0.13174400983273932,0.1329325450332416,1000,-0.001188535200502272,0.7612387612387612
Klagelied des Einzelnen,0.18931193835375792,0.18962515387944404,1000,-0.00031321552568611133,0.5234765234765235
Klagelied des Volkes,0.06395156681294473,0.06341594431108992,1000,0.0005356225018548072,0.34965034965034963
Königspsalm,0.028260157133957513,0.026991309824926216,1000,0.0012688473090312971,0.2807192807192807
Liturgie,0.0401789451983592,0.03914502535809718,1000,0.0010339198402620209,0.1918081918081918
Mischgedicht,0.03477127385036123,0.03054427219833638,1000,0.004227001652024852,0.13186813186813187
Thronbesteigungslied,0.039888891429448625,0.036146607641552884,1000,0.0037422837878957407,0.22277722277722278
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.035427619642736004,0.039163484020131686,1000,-0.0037358643773956826,0.5984015984015985
Zionslied,0.016094383052430376,0.01813217029998132,1000,-0.0020377872475509443,0.7912087912087912
prophetische Gerichtsrede,0.0024875621890547263,0.002506062236711151,1000,-1.8500047656424667e-05,0.5434565434565435
"prophetische Schelt-, Droh- und Mahnrede",0.013938045346972471,0.013270104141444288,1000,0.000667941205528183,0.2917082917082917
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011616526035493471,0.01245157133575626,1000,-0.0008350453002627881,0.8301698301698301
