genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0331829865554626,0.018553179350101374,1000,0.014629807205361223,0.0959040959040959
Danklied des Einzelnen,0.043140555242438906,0.04368868279682378,1000,-0.0005481275543848738,0.7512487512487512
Fluch,0.002577319587628866,0.0025330166511086326,1000,4.4302936520233295e-05,0.3306693306693307
Hymnus,0.17172159262235087,0.17095359376033542,1000,0.000767998862015451,0.34465534465534464
Klagelied des Einzelnen,0.2107599012845484,0.21234918093071445,1000,-0.0015892796461660363,0.7582417582417582
Klagelied des Volkes,0.06686909423051791,0.06782274770227152,1000,-0.0009536534717536072,0.7912087912087912
Königspsalm,0.01652162769322513,0.017223835257471124,1000,-0.0007022075642459935,0.8141858141858141
Liturgie,0.0409510828240056,0.04019388257556649,1000,0.0007572002484391091,0.2217782217782218
Mischgedicht,0.021070108460761346,0.022559438238533062,1000,-0.0014893297777717161,0.8511488511488512
Thronbesteigungslied,0.13120556579658693,0.12829138246964034,1000,0.0029141833269465955,0.3886113886113886
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028484041426484745,0.029424575653834557,1000,-0.0009405342273498124,0.6813186813186813
Zionslied,0.02321702800763062,0.028282817162531372,1000,-0.005065789154900753,0.938061938061938
prophetische Gerichtsrede,0.0029411764705882353,0.002823078998807462,1000,0.00011809747178077347,0.4925074925074925
"prophetische Schelt-, Droh- und Mahnrede",0.04401121527384587,0.040309664924481736,1000,0.0037015503493641327,0.26573426573426573
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.021725555204047182,0.02359769299738713,1000,-0.0018721377933399487,0.7922077922077922
