genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007811495477549059,0.009212688251014017,1000,-0.0014011927734649578,0.4935064935064935
Danklied des Einzelnen,0.04015388080510971,0.03981512046972647,1000,0.00033876033538324246,0.3626373626373626
Fluch,0.0022675736961451248,0.002365565939771805,1000,-9.799224362668033e-05,0.6763236763236763
Hymnus,0.17474413640579378,0.16816301493256514,1000,0.006581121473228646,0.01998001998001998
Klagelied des Einzelnen,0.1756491142059658,0.17634352339454998,1000,-0.000694409188584183,0.6203796203796204
Klagelied des Volkes,0.051998518237665714,0.05132142393547259,1000,0.0006770943021931208,0.2897102897102897
Königspsalm,0.021907518946712237,0.02072312445775088,1000,0.0011843944889613559,0.15084915084915085
Liturgie,0.034962342479597265,0.033605539701459054,1000,0.0013568027781382108,0.1048951048951049
Mischgedicht,0.02493712674468521,0.024104470566058696,1000,0.000832656178626514,0.2937062937062937
Thronbesteigungslied,0.043062994090222344,0.02866577286925234,1000,0.014397221220970004,0.06693306693306693
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030263963530925014,0.032181693373752644,1000,-0.0019177298428276306,0.7952047952047953
Zionslied,0.03769002333204172,0.027916064907048423,1000,0.009773958424993293,0.07792207792207792
prophetische Gerichtsrede,0.009900990099009901,0.006593989079011175,1000,0.003307001019998726,0.06493506493506493
"prophetische Schelt-, Droh- und Mahnrede",0.010256248202590974,0.012093883374907856,1000,-0.001837635172316882,0.4785214785214785
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010088767037567042,0.010074593422745397,1000,1.4173614821644254e-05,0.42157842157842157
