genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006334200543322109,0.005872785607659294,1000,0.0004614149356628157,0.21178821178821178
Danklied des Einzelnen,0.045313808568584454,0.04725875949385531,1000,-0.0019449509252708538,0.968031968031968
Fluch,0.005405405405405406,0.0050538189462152605,1000,0.0003515864591901452,0.36563436563436563
Hymnus,0.16726460591249137,0.16825325044018574,1000,-0.0009886445276943712,0.6503496503496503
Klagelied des Einzelnen,0.21782266022227972,0.21268251546522432,1000,0.005140144757055404,0.025974025974025976
Klagelied des Volkes,0.05797720482443215,0.05677911197349513,1000,0.00119809285093702,0.23876123876123875
Königspsalm,0.01574293187775926,0.014709443197390072,1000,0.0010334886803691871,0.0959040959040959
Liturgie,0.02966158531777577,0.026821409895268856,1000,0.002840175422506915,0.008991008991008992
Mischgedicht,0.01574025527020552,0.016967622510172,1000,-0.0012273672399664808,0.6563436563436563
Thronbesteigungslied,0.17477050772587646,0.1265203099587318,1000,0.04825019776714465,0.1258741258741259
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024829215219577767,0.024490872682717633,1000,0.00033834253686013463,0.3936063936063936
Zionslied,0.036512099234191665,0.027473825516782617,1000,0.009038273717409048,0.06493506493506493
prophetische Gerichtsrede,0.005076142131979695,0.0037068695193996836,1000,0.0013692726125800114,0.011988011988011988
"prophetische Schelt-, Droh- und Mahnrede",0.019460691598462556,0.027935489611697947,1000,-0.00847479801323539,0.9300699300699301
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.019219747315849092,0.015823560507378227,1000,0.0033961868084708656,0.02097902097902098
