genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005202321805677609,0.004856690118080479,1000,0.00034563168759713016,0.059940059940059943
Danklied des Einzelnen,0.04337927016953954,0.044549590709004036,1000,-0.0011703205394644964,0.994005994005994
Fluch,0.003257328990228013,0.003134230224177336,1000,0.0001230987660506772,0.1848151848151848
Hymnus,0.12092266416792793,0.12159425002444146,1000,-0.0006715858565135291,0.975024975024975
Klagelied des Einzelnen,0.18386815821815305,0.17949452843227542,1000,0.004373629785877631,0.000999000999000999
Klagelied des Volkes,0.045407067270298127,0.045099443013593456,1000,0.0003076242567046708,0.1028971028971029
Königspsalm,0.0296761839788297,0.02864967711906425,1000,0.0010265068597654498,0.08291708291708291
Liturgie,0.0372555019460848,0.03709805779264117,1000,0.0001574441534436255,0.3336663336663337
Mischgedicht,0.037756980444938026,0.03967678833423599,1000,-0.0019198078892979642,0.975024975024975
Thronbesteigungslied,0.014368732099493298,0.013036003859888437,1000,0.0013327282396048603,0.003996003996003996
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028138540635996495,0.027767187296655522,1000,0.00037135333934097334,0.2127872127872128
Zionslied,0.012947332999324341,0.013446883635273313,1000,-0.000499550635948972,0.8331668331668332
prophetische Gerichtsrede,0.006493506493506494,0.006732066474760737,1000,-0.00023855998125424296,0.7082917082917083
"prophetische Schelt-, Droh- und Mahnrede",0.03348130970454622,0.008947067866907568,1000,0.02453424183763865,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.00893696763082572,0.009023801466255024,1000,-8.683383542930356e-05,0.8001998001998002
