genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004199816282130201,0.004032742473083766,1000,0.00016707380904643424,0.04795204795204795
Danklied des Einzelnen,0.052721271095663075,0.05408972536688799,1000,-0.0013684542712249156,0.997002997002997
Fluch,0.0031545741324921135,0.003063865975804799,1000,9.070815668731427e-05,0.12787212787212787
Hymnus,0.17581386414636394,0.18287246115878714,1000,-0.007058597012423201,1.0
Klagelied des Einzelnen,0.23752134530680524,0.22922563668682483,1000,0.008295708619980413,0.012987012987012988
Klagelied des Volkes,0.04020804800203833,0.03986166471064726,1000,0.0003463832913910697,0.1048951048951049
Königspsalm,0.013881421590900198,0.01328606623286911,1000,0.000595355358031088,0.002997002997002997
Liturgie,0.02079186157624903,0.02053168336729667,1000,0.0002601782089523587,0.005994005994005994
Mischgedicht,0.016001682925544276,0.01600936929710791,1000,-7.686371563633831e-06,0.45854145854145856
Thronbesteigungslied,0.11667015712511453,0.05788496136721759,1000,0.05878519575789694,0.000999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01378616465222301,0.013714384277553095,1000,7.178037466991534e-05,0.2827172827172827
Zionslied,0.007341732335243203,0.006974656846833877,1000,0.0003670754884093257,0.011988011988011988
prophetische Gerichtsrede,0.003816793893129771,0.0030848186060904947,1000,0.0007319752870392762,0.1068931068931069
"prophetische Schelt-, Droh- und Mahnrede",0.02475817181520759,0.022755705500548964,1000,0.002002466314658627,0.11988011988011989
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.021667542676874894,0.016088836831971088,1000,0.005578705844903806,0.05194805194805195
