genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004913648676956427,0.00489170883882275,1000,2.1939838133677378e-05,0.4195804195804196
Danklied des Einzelnen,0.04385474407688039,0.04485457449519254,1000,-0.000999830418312149,0.967032967032967
Fluch,0.0033112582781456954,0.003199261905237236,1000,0.00011199637290845938,0.17182817182817184
Hymnus,0.12150442596877298,0.12234267672803384,1000,-0.0008382507592608612,0.978021978021978
Klagelied des Einzelnen,0.18871680404906951,0.18496925263495315,1000,0.003747551414116368,0.000999000999000999
Klagelied des Volkes,0.045296764463226474,0.04499532652322082,1000,0.00030143794000565133,0.14785214785214784
Königspsalm,0.028513614319387325,0.027980022108495418,1000,0.0005335922108919075,0.26673326673326675
Liturgie,0.03729669814037898,0.03716362385447191,1000,0.0001330742859070727,0.3806193806193806
Mischgedicht,0.036089757988386796,0.03799508146799668,1000,-0.001905323479609887,0.9300699300699301
Thronbesteigungslied,0.01608126359866593,0.015424571997947747,1000,0.0006566916007181844,0.17082917082917082
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027248487595472184,0.026935532428958454,1000,0.00031295516651373007,0.2987012987012987
Zionslied,0.015550952230864022,0.016215344349812512,1000,-0.0006643921189484897,0.7022977022977023
prophetische Gerichtsrede,0.006944444444444444,0.007356750032950077,1000,-0.0004123055885056331,0.6983016983016983
"prophetische Schelt-, Droh- und Mahnrede",0.03450314826740717,0.009760378232275747,1000,0.024742770035131423,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009029815777321561,0.009239442892579344,1000,-0.0002096271152577829,0.9040959040959041
