genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004287503277288248,0.004233294413723499,1000,5.420886356474839e-05,0.32967032967032966
Danklied des Einzelnen,0.053231554568464644,0.05462865249848779,1000,-0.0013970979300231487,0.958041958041958
Fluch,0.003003003003003003,0.002977334302028885,1000,2.566870097411812e-05,0.42957042957042957
Hymnus,0.17948331243171664,0.18302513912064303,1000,-0.003541826688926386,0.906093906093906
Klagelied des Einzelnen,0.2301367528000569,0.22832428459546877,1000,0.0018124682045881357,0.22277722277722278
Klagelied des Volkes,0.041414706527762565,0.04078760023309407,1000,0.0006271062946684933,0.04695304695304695
Königspsalm,0.014869687904305318,0.013879206266034422,1000,0.0009904816382708959,0.02197802197802198
Liturgie,0.021734490942619374,0.021565958153778205,1000,0.00016853278884116848,0.16083916083916083
Mischgedicht,0.01652452596071411,0.016934259135598765,1000,-0.0004097331748846543,0.8531468531468531
Thronbesteigungslied,0.1123327960776767,0.06987199566092772,1000,0.042460800416748976,0.001998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01403008120079564,0.013946873131950826,1000,8.320806884481481e-05,0.33266733266733267
Zionslied,0.008716827503764504,0.008517392872362068,1000,0.00019943463140243561,0.1928071928071928
prophetische Gerichtsrede,0.004,0.003977960079730214,1000,2.203992026978633e-05,0.5234765234765235
"prophetische Schelt-, Droh- und Mahnrede",0.019442430398204237,0.018179887867885262,1000,0.0012625425303189747,0.004995004995004995
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.013879505179833246,0.013535406999277308,1000,0.00034409818055593754,0.1958041958041958
