genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004148319380144474,0.004484001917974721,1000,-0.0003356825378302468,0.6483516483516484
Danklied des Einzelnen,0.04532100380935976,0.048010120486154315,1000,-0.0026891166767945562,0.948051948051948
Fluch,0.0026041666666666665,0.002604748804757941,1000,-5.821380912743659e-07,0.4755244755244755
Hymnus,0.16367333290060676,0.1713540762066169,1000,-0.0076807433060101515,0.994005994005994
Klagelied des Einzelnen,0.22750071933609572,0.222775517996505,1000,0.004725201339590729,0.18181818181818182
Klagelied des Volkes,0.04565198157254059,0.0434847675208453,1000,0.0021672140516952945,0.03496503496503497
Königspsalm,0.013025246234945994,0.012526404835663182,1000,0.0004988413992828115,0.17882117882117882
Liturgie,0.026079073907903146,0.02550976731379152,1000,0.0005693065941116265,0.27172827172827174
Mischgedicht,0.014631092090856963,0.01466232713543731,1000,-3.123504458034734e-05,0.4005994005994006
Thronbesteigungslied,0.05782752185183161,0.0592429547104514,1000,-0.0014154328586197876,0.5724275724275725
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01707926737531145,0.01746318019355297,1000,-0.0003839128182415198,0.42357642357642356
Zionslied,0.01889034099711606,0.0161763655926041,1000,0.002713975404511959,0.19480519480519481
prophetische Gerichtsrede,0.004694835680751174,0.006052441727347619,1000,-0.0013576060465964454,0.4975024975024975
"prophetische Schelt-, Droh- und Mahnrede",0.0240304747099857,0.02176611519572909,1000,0.0022643595142566066,0.21078921078921078
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.017579872714209896,0.015213272046962224,1000,0.002366600667247672,0.09290709290709291
