genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01028029660884419,0.01683349702900079,1000,-0.006553200420156601,0.5554445554445554
Danklied des Einzelnen,0.0418530992687426,0.03960968020251938,1000,0.002243419066223225,0.03996003996003996
Fluch,0.0030120481927710845,0.002901284757985102,1000,0.00011076343478598266,0.4015984015984016
Hymnus,0.14001694702824058,0.1421319378042532,1000,-0.0021149907760126263,0.936063936063936
Klagelied des Einzelnen,0.21386818520012066,0.21601474798457065,1000,-0.0021465627844499957,0.6773226773226774
Klagelied des Volkes,0.06444501198496623,0.06440227517260365,1000,4.273681236258153e-05,0.48151848151848153
Königspsalm,0.020636245181882572,0.022397383849074408,1000,-0.0017611386671918354,0.942057942057942
Liturgie,0.046746511192101485,0.047456314670253956,1000,-0.0007098034781524709,0.7142857142857143
Mischgedicht,0.024425533921085887,0.02617583083483954,1000,-0.001750296913753651,0.8671328671328671
Thronbesteigungslied,0.046555966724182496,0.0464710729895061,1000,8.489373467639866e-05,0.37962037962037964
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04311392348143628,0.05027570526779505,1000,-0.007161781786358769,0.7752247752247752
Zionslied,0.015801057553494646,0.017275339820874116,1000,-0.0014742822673794696,0.9000999000999002
prophetische Gerichtsrede,0.0030120481927710845,0.0032465657418907054,1000,-0.00023451754911962093,0.8041958041958042
"prophetische Schelt-, Droh- und Mahnrede",0.0189553864579508,0.016606479222275202,1000,0.002348907235675598,0.13386613386613386
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011909234764941386,0.012001143013945946,1000,-9.190824900455995e-05,0.5454545454545454
