genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004245770026639897,0.00398166173320973,1000,0.0002641082934301672,0.11688311688311688
Danklied des Einzelnen,0.04701720425071007,0.04868033223532048,1000,-0.0016631279846104075,0.8931068931068931
Fluch,0.007352941176470588,0.00569725485592142,1000,0.001655686320549168,0.13286713286713286
Hymnus,0.16199651293047213,0.16507186449398675,1000,-0.003075351563514628,0.952047952047952
Klagelied des Einzelnen,0.23648706393893523,0.22528619769435937,1000,0.011200866244575863,0.006993006993006993
Klagelied des Volkes,0.05472340207775453,0.05265296465673589,1000,0.002070437421018638,0.23176823176823177
Königspsalm,0.015086514919595735,0.01677043903755034,1000,-0.0016839241179546043,0.8721278721278721
Liturgie,0.025589001182435383,0.024721886904825133,1000,0.0008671142776102495,0.15684315684315683
Mischgedicht,0.016715662927094525,0.016393958486707896,1000,0.000321704440386629,0.34265734265734266
Thronbesteigungslied,0.06642522722762664,0.06160576986471377,1000,0.004819457362912873,0.07092907092907093
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.017693802482680897,0.018992317751971566,1000,-0.0012985152692906697,0.6933066933066933
Zionslied,0.015054744604783506,0.01598134555426023,1000,-0.0009266009494767226,0.5274725274725275
prophetische Gerichtsrede,0.0029585798816568047,0.003837737793478419,1000,-0.0008791579118216145,0.7582417582417582
"prophetische Schelt-, Droh- und Mahnrede",0.02045771985659755,0.02061507041831235,1000,-0.00015735056171480022,0.3836163836163836
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01937103962919619,0.01582305888853341,1000,0.0035479807406627803,0.057942057942057944
