genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004292032745785098,0.004151988780459641,1000,0.000140043965325457,0.2707292707292707
Danklied des Einzelnen,0.04928263442156484,0.051200013829347614,1000,-0.0019173794077827766,0.9660339660339661
Fluch,0.0025974025974025974,0.002808630987580301,1000,-0.00021122839017770345,0.8691308691308691
Hymnus,0.17193086250399783,0.17914739217583237,1000,-0.007216529671834532,0.997002997002997
Klagelied des Einzelnen,0.2351868803933986,0.22464822356680156,1000,0.010538656826597048,0.000999000999000999
Klagelied des Volkes,0.04132683056742968,0.04024384597508252,1000,0.0010829845923471595,0.012987012987012988
Königspsalm,0.014545622913919892,0.0138305654139909,1000,0.0007150574999289921,0.07592407592407592
Liturgie,0.02044149967495074,0.02018149260420899,1000,0.00026000707074174886,0.15884115884115885
Mischgedicht,0.01612736702572695,0.016221786719228925,1000,-9.441969350197643e-05,0.5544455544455544
Thronbesteigungslied,0.12247968143043086,0.06286736336760934,1000,0.05961231806282152,0.000999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.013565271384805282,0.01353067361485402,1000,3.459776995126153e-05,0.4245754245754246
Zionslied,0.008823776442674711,0.009344077086083534,1000,-0.0005203006434088223,0.44455544455544455
prophetische Gerichtsrede,0.0027397260273972603,0.0030055805035113757,1000,-0.0002658544761141154,0.7852147852147852
"prophetische Schelt-, Droh- und Mahnrede",0.018750899044251007,0.01750974474725301,1000,0.001241154296997997,0.08691308691308691
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01227056037358993,0.011947156170494345,1000,0.00032340420309558485,0.13086913086913088
