genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008179207834458354,0.005522544762404154,1000,0.0026566630720542004,0.013986013986013986
Danklied des Einzelnen,0.039526389240558915,0.039710431049967604,1000,-0.00018404180940868875,0.5654345654345654
Fluch,0.002770083102493075,0.002451712934919486,1000,0.0003183701675735888,0.07292707292707293
Hymnus,0.13026817980847458,0.13100252695938464,1000,-0.0007343471509100585,0.7342657342657343
Klagelied des Einzelnen,0.20380706818749472,0.19557157634181419,1000,0.008235491845680537,0.003996003996003996
Klagelied des Volkes,0.047800838372080136,0.04609893643856075,1000,0.0017019019335193855,0.02197802197802198
Königspsalm,0.028588731457617964,0.028397392540260562,1000,0.00019133891735740108,0.4355644355644356
Liturgie,0.03446395013236226,0.035352565253636455,1000,-0.0008886151212741944,0.8051948051948052
Mischgedicht,0.03807838179103082,0.03543202489302364,1000,0.002646356898007178,0.12987012987012986
Thronbesteigungslied,0.02198412575992712,0.023453737122177402,1000,-0.001469611362250281,0.5254745254745254
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02314143424262605,0.023498161903456917,1000,-0.00035672766083086685,0.5214785214785215
Zionslied,0.016863430904207655,0.039090201993592574,1000,-0.02222677108938492,0.998001998001998
prophetische Gerichtsrede,0.006666666666666667,0.006854441267564129,1000,-0.00018777460089746192,0.5364635364635365
"prophetische Schelt-, Droh- und Mahnrede",0.033795112526324264,0.01040004547810948,1000,0.023395067048214785,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008711701732112859,0.00931520574777588,1000,-0.0006035040156630207,0.991008991008991
