model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
f2llm_v2_14b_vocalized,8018,38765,0.17138704230169077,0.22677629615438052,0.0631408940894737,-0.018565063473219783,0.08170595756269347,0.5334547973238467,1.7581935470321963e-21
f2llm_v2_14b_cantillation,8018,38765,0.17138704230169077,0.22551198989901,0.06466210841383377,-0.01884616452442404,0.08350827293825781,0.5329554918948167,6.691156186575571e-21
berel_consonantal,8018,38765,0.17138704230169077,0.20938682536425107,-0.049584032730326834,0.006672127688767117,-0.056256160419093953,0.5066112725794282,0.03097015600614451
kalm_embedding_gemma3_12b_2511_cantillation,8018,38765,0.17138704230169077,0.20418177018865907,-0.048463731963420666,0.00688049002415148,-0.05534422198757215,0.506353489699125,0.03641164522270593
gemini_embedding_2_cantillation,8018,38765,0.17138704230169077,0.20171181516602282,-0.06493424754890939,0.009807890418217578,-0.07474213796712698,0.4974183458043599,0.7669815491137031
gemini_embedding_2_vocalized,8018,38765,0.17138704230169077,0.20091060555891527,-0.06717073333255211,0.010374207268076597,-0.0775449406006287,0.497115377283609,0.7923169768344082
f2llm_v2_14b_consonantal,8018,38765,0.17138704230169077,0.2007745532490939,-0.03241322163487187,0.0025644865444087108,-0.03497770817928058,0.5040675779251618,0.12538133658723982
bge_multilingual_gemma2_cantillation,8018,38765,0.17138704230169077,0.1993957563227025,-0.05745090439536171,0.008637167210804562,-0.06608807160616628,0.5010842880701447,0.37974397498851015
harrier_oss_v1_27b_cantillation,8018,38765,0.17138704230169077,0.19933495408780588,-0.07195854478015133,0.011652945367325657,-0.08361149014747699,0.49820746413565736,0.693617725962182
kalm_embedding_gemma3_12b_2511_vocalized,8018,38765,0.17138704230169077,0.19840439795299564,-0.06226798265074583,0.010016561402151843,-0.07228454405289768,0.5011183578725245,0.37608739301745864
gemini_embedding_2_consonantal,8018,38765,0.17138704230169077,0.19795809436152742,-0.06483167537866981,0.009843403796655324,-0.07467507917532513,0.4979485021078428,0.7187898595712985
harrier_oss_v1_27b_vocalized,8018,38765,0.17138704230169077,0.19712993219559047,-0.07790470591816272,0.013146489078547931,-0.09105119499671065,0.4972856699924203,0.7782820287139862
bge_multilingual_gemma2_vocalized,8018,38765,0.17138704230169077,0.1965038080950266,-0.061644002972397416,0.00948782646291204,-0.07113182943530946,0.4986099411240226,0.6526518904659364
neodictabert_consonantal,8018,38765,0.17138704230169077,0.19378652084917297,-0.04094527801751043,0.0032192304766596714,-0.044164508494170106,0.49402981367506754,0.9540741677038629
openai_text_embedding_3_large_cantillation,8018,38765,0.17138704230169077,0.19202539500537022,-0.04037112150271727,0.004362976464090549,-0.04473409796680782,0.4982152307443683,0.6928476196175254
qwen3_embedding_8b_vocalized,8018,38765,0.17138704230169077,0.19133831898258336,-0.07500261752623318,0.012253066093399519,-0.08725568361963269,0.492347236131319,0.9846443542224756
qwen3_embedding_8b_cantillation,8018,38765,0.17138704230169077,0.19086243055033342,-0.07162042826932569,0.011499665692774568,-0.08312009396210025,0.4922551628885311,0.9856211017830373
alephbert_consonantal,8018,38765,0.17138704230169077,0.1902575662542383,-0.06986163155985402,0.011032118766916382,-0.0808937503267704,0.49476052800970804,0.9304818740482624
openai_text_embedding_3_large_vocalized,8018,38765,0.17138704230169077,0.18999836794215444,-0.05087641532594498,0.006557203675836869,-0.05743361900178185,0.49501759021049535,0.9202576539792586
harrier_oss_v1_27b_consonantal,8018,38765,0.17138704230169077,0.18517469955789612,-0.10528979311823446,0.01941425382366174,-0.1247040469418962,0.48675531646726633,0.9999078791814111
kalm_embedding_gemma3_12b_2511_consonantal,8018,38765,0.17138704230169077,0.18461319200664988,-0.09582074251421775,0.01751452733174667,-0.11333526984596443,0.48699889166568566,0.9998791620218835
voyage_4_vocalized,8018,38765,0.17138704230169077,0.1844217090052228,-0.09959827820821428,0.017377056798310017,-0.1169753350065243,0.4812897023230042,0.9999999364361607
voyage_4_cantillation,8018,38765,0.17138704230169077,0.1836576435979319,-0.10484541749226493,0.018534775547357434,-0.12338019303962236,0.47978731074481357,0.9999999942556967
miqrabert_consonantal,8018,38765,0.17138704230169077,0.18197997908812916,0.00415222555252052,-0.0017574355839765142,0.005909661136497034,0.49954709474944115,0.5508781632395753
bge_m3_consonantal,8018,38765,0.17138704230169077,0.1811495917883057,-0.08570825407266915,0.014506832829395416,-0.10021508690206456,0.48394954542013474,0.9999970775026019
bge_m3_vocalized,8018,38765,0.17138704230169077,0.18085644825598543,-0.09511084127358384,0.016864584908413208,-0.11197542618199705,0.4846236075884593,0.9999929274142103
voyage_4_consonantal,8018,38765,0.17138704230169077,0.17884831555401937,-0.09173945144895627,0.016215633535516232,-0.10795508498447251,0.47818421063892197,0.9999999996357902
cohere_embed_v4_consonantal,8018,38765,0.17138704230169077,0.1767719036641238,-0.08130439304963663,0.013657386570612707,-0.09496177962024933,0.4810082399728947,0.9999999589408443
bge_multilingual_gemma2_consonantal,8018,38765,0.17138704230169077,0.17620162166834524,-0.1270432247155917,0.023580937193196067,-0.15062416190878777,0.474192128719024,0.9999999999998415
openai_text_embedding_3_large_consonantal,8018,38765,0.17138704230169077,0.17614887533322796,-0.10688702627177461,0.01885939967742793,-0.12574642594920254,0.47545721404538743,0.9999999999978924
me5_large_instruct_consonantal,8018,38765,0.17138704230169077,0.17614160956878855,-0.1276866088457201,0.024576558215910926,-0.15226316706163104,0.47533711795178246,0.9999999999983425
llama_embed_nemotron_8b_vocalized,8018,38765,0.17138704230169077,0.17476647012779936,-0.1389469430283299,0.02665398131888141,-0.16560092434721133,0.47240239835708236,0.9999999999999967
bge_m3_cantillation,8018,38765,0.17138704230169077,0.17440225534143192,-0.11835001090738774,0.021935408227074606,-0.14028541913446235,0.47433382267686947,0.9999999999997868
qwen3_embedding_8b_consonantal,8018,38765,0.17138704230169077,0.17429908587022525,-0.11582859214332107,0.021504211263825825,-0.1373328034071469,0.47345891774463217,0.9999999999999666
llama_embed_nemotron_8b_cantillation,8018,38765,0.17138704230169077,0.17304776537413713,-0.1467534090943572,0.028387154240690014,-0.1751405633350472,0.4694976834818678,1.0
me5_large_instruct_vocalized,8018,38765,0.17138704230169077,0.1713350736225753,-0.13645260930908668,0.026386487404216598,-0.16283909671330327,0.46976834689985714,1.0
llama_embed_nemotron_8b_consonantal,8018,38765,0.17138704230169077,0.1694023237441621,-0.1471252550626822,0.028494285162776484,-0.1756195402254587,0.4662833080618267,1.0
cohere_embed_v4_cantillation,8018,38765,0.17138704230169077,0.16864726898278987,-0.14483385135202165,0.02730988491495338,-0.17214373626697502,0.46325337512073395,1.0
cohere_embed_v4_vocalized,8018,38765,0.17138704230169077,0.16839606624057718,-0.13821009657200642,0.02584198739290061,-0.16405208396490703,0.4646980270786963,1.0
me5_large_instruct_cantillation,8018,38765,0.17138704230169077,0.16749591037519174,-0.14560606566034912,0.02828234991031324,-0.17388841557066237,0.4650428738356884,1.0
gte_multilingual_base_cantillation,8018,38765,0.17138704230169077,0.15915790769706528,-0.18167561733246992,0.036055544188523504,-0.21773116152099342,0.45255300235890633,1.0
gte_multilingual_base_vocalized,8018,38765,0.17138704230169077,0.15861266624352738,-0.18308060292312758,0.03644341036613253,-0.2195240132892601,0.4486713581401733,1.0
gte_multilingual_base_consonantal,8018,38765,0.17138704230169077,0.15635716350068102,-0.19980859184370126,0.039927195325489974,-0.23973578716919122,0.44684479268994176,1.0
