genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009850142711859437,0.010010725103705612,1000,-0.0001605823918461747,0.5764235764235764
Danklied des Einzelnen,0.03737978534675053,0.037211087866386244,1000,0.00016869748036428545,0.3086913086913087
Fluch,0.0028089887640449437,0.0027821415518628294,1000,2.684721218211431e-05,0.4035964035964036
Hymnus,0.11604233695551397,0.11566772193191383,1000,0.0003746150236001444,0.15784215784215785
Klagelied des Einzelnen,0.19879925652703812,0.2008814318830975,1000,-0.002082175356059396,0.916083916083916
Klagelied des Volkes,0.05252047411213091,0.05283321497449731,1000,-0.00031274086236639936,0.5644355644355644
Königspsalm,0.04337883082549532,0.03538000959999777,1000,0.007998821225497547,0.012987012987012988
Liturgie,0.036332377116711265,0.03687292447575865,1000,-0.0005405473590473844,0.6963036963036963
Mischgedicht,0.02476020138156283,0.02502960055066372,1000,-0.00026939916910088957,0.5794205794205795
Thronbesteigungslied,0.011628367439527939,0.011562858678661303,1000,6.55087608666359e-05,0.4565434565434565
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.017527471419934652,0.017815033953362678,1000,-0.0002875625334280256,0.7732267732267732
Zionslied,0.013973352839084312,0.015059469864641616,1000,-0.0010861170255573038,0.7422577422577422
prophetische Gerichtsrede,0.006211180124223602,0.0062514352492763475,1000,-4.0255125052745394e-05,0.4855144855144855
"prophetische Schelt-, Droh- und Mahnrede",0.0129285265180747,0.012416356395145673,1000,0.0005121701229290274,0.13086913086913088
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.014349784143866619,0.0137620813720736,1000,0.0005877027717930191,0.27972027972027974
