genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008371658963036677,0.006365056109093465,1000,0.002006602853943212,0.11888111888111888
Danklied des Einzelnen,0.048431112203050214,0.04908845746277336,1000,-0.0006573452597231494,0.5764235764235764
Fluch,0.002777777777777778,0.003665864039049387,1000,-0.0008880862612716091,0.7042957042957043
Hymnus,0.16743281285636535,0.16679226033257907,1000,0.0006405525237862808,0.4195804195804196
Klagelied des Einzelnen,0.20892304905147127,0.21620213384031808,1000,-0.007279084788846812,0.8801198801198801
Klagelied des Volkes,0.04658320384033678,0.048548112559731696,1000,-0.001964908719394913,0.7312687312687313
Königspsalm,0.011099853590759266,0.013277175207572541,1000,-0.0021773216168132752,0.9560439560439561
Liturgie,0.02387825368068362,0.025273286546073668,1000,-0.0013950328653900487,0.7782217782217782
Mischgedicht,0.020236899790976145,0.018467886105178168,1000,0.0017690136857979773,0.21478521478521478
Thronbesteigungslied,0.056204622493040646,0.06050548693214784,1000,-0.0043008644391071965,0.8221778221778222
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.023400837420924324,0.017025285210613184,1000,0.00637555221031114,0.03696303696303696
Zionslied,0.013653160183569496,0.012744792893731758,1000,0.0009083672898377373,0.16483516483516483
prophetische Gerichtsrede,0.07142857142857142,0.010142100619483035,1000,0.06128647080908839,0.024975024975024976
"prophetische Schelt-, Droh- und Mahnrede",0.01910137339387616,0.02270058374432136,1000,-0.0035992103504452026,0.8071928071928072
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.017614010077718532,0.01724190777509187,1000,0.00037210230262666247,0.35364635364635366
