genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005186496912008451,0.004302544484144219,1000,0.0008839524278642322,0.026973026973026972
Danklied des Einzelnen,0.050635330681081274,0.05010739681444951,1000,0.0005279338666317607,0.2777222777222777
Fluch,0.00558659217877095,0.005782587084964943,1000,-0.0001959949061939928,0.7492507492507493
Hymnus,0.16701255455544708,0.16899317188440244,1000,-0.001980617328955353,0.8441558441558441
Klagelied des Einzelnen,0.2419216216105554,0.23883318553689076,1000,0.00308843607366463,0.09090909090909091
Klagelied des Volkes,0.047846602584797934,0.04845106746128039,1000,-0.0006044648764824551,0.6833166833166833
Königspsalm,0.012161020368554466,0.012457499897508552,1000,-0.00029647952895408593,0.7702297702297702
Liturgie,0.022775331417757533,0.023815865396246153,1000,-0.0010405339784886197,0.991008991008991
Mischgedicht,0.014973119570292853,0.015672781060003665,1000,-0.0006996614897108126,0.919080919080919
Thronbesteigungslied,0.11602763794165746,0.0929615019812829,1000,0.02306613596037456,0.1088911088911089
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01301719825982752,0.013460061531938851,1000,-0.00044286327211133167,0.9070929070929071
Zionslied,0.019404781075679604,0.02059100661320761,1000,-0.0011862255375280073,0.6613386613386614
prophetische Gerichtsrede,0.0034965034965034965,0.006425305196137224,1000,-0.0029288016996337272,0.7312687312687313
"prophetische Schelt-, Droh- und Mahnrede",0.03336616502296413,0.03401833987406041,1000,-0.0006521748510962821,0.5664335664335665
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01803530957219201,0.025319991041249837,1000,-0.0072846814690578285,0.999000999000999
