genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004777212752262909,0.004384262099810398,1000,0.0003929506524525117,0.08891108891108891
Danklied des Einzelnen,0.051346844767133824,0.05093265834045731,1000,0.00041418642667651745,0.40559440559440557
Fluch,0.0036496350364963502,0.006503919430490846,1000,-0.0028542843939944954,0.996003996003996
Hymnus,0.16593454654234785,0.1664775256979155,1000,-0.0005429791555676411,0.5824175824175825
Klagelied des Einzelnen,0.21694329739941776,0.21605353325241822,1000,0.0008897641469995388,0.3986013986013986
Klagelied des Volkes,0.046124566431606014,0.04531926311745211,1000,0.0008053033141539045,0.23476523476523475
Königspsalm,0.019179683832775667,0.014299409377242058,1000,0.0048802744555336095,0.03696303696303696
Liturgie,0.02484311765287859,0.02459418945981568,1000,0.00024892819306290837,0.3196803196803197
Mischgedicht,0.01928570858248057,0.01803256726316399,1000,0.0012531413193165794,0.18281718281718282
Thronbesteigungslied,0.07359577560501744,0.06347546237422783,1000,0.010120313230789615,0.09490509490509491
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.0419006752623845,0.03585739106833924,1000,0.006043284194045262,0.15484515484515485
Zionslied,0.010579011629895016,0.011642923476815758,1000,-0.0010639118469207426,0.48151848151848153
prophetische Gerichtsrede,0.0028653295128939827,0.00407555686383886,1000,-0.0012102273509448772,0.997002997002997
"prophetische Schelt-, Droh- und Mahnrede",0.03399035433207474,0.020476883705912934,1000,0.01351347062616181,0.02197802197802198
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.021584478677064686,0.019904210726159267,1000,0.0016802679509054196,0.2787212787212787
