genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004047965172757183,0.003960926930297746,1000,8.70382424594373e-05,0.17782217782217782
Danklied des Einzelnen,0.051022689513968385,0.0521147455315016,1000,-0.001092056017533212,0.98001998001998
Fluch,0.0033783783783783786,0.003365392494687872,1000,1.29858836905067e-05,0.4515484515484515
Hymnus,0.16206732914756034,0.16855618016655685,1000,-0.0064888510189965165,1.0
Klagelied des Einzelnen,0.23594975913436186,0.23013987715909995,1000,0.005809881975261916,0.06793206793206794
Klagelied des Volkes,0.04387189583802037,0.0425169288320237,1000,0.001354967005996667,0.002997002997002997
Königspsalm,0.012597936108000855,0.012447302401049246,1000,0.00015063370695160908,0.2087912087912088
Liturgie,0.021191857748129712,0.021068879870483875,1000,0.00012297787764583776,0.17682317682317683
Mischgedicht,0.015988621318251982,0.015911834479325513,1000,7.678683892646879e-05,0.38461538461538464
Thronbesteigungslied,0.1141684147367402,0.0582991028831386,1000,0.055869311853601604,0.002997002997002997
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.017936162824677974,0.017698413469502454,1000,0.00023774935517551984,0.2907092907092907
Zionslied,0.00741174983728826,0.0067244529696438935,1000,0.0006872968676443665,0.001998001998001998
prophetische Gerichtsrede,0.0037593984962406013,0.0037935862153276574,1000,-3.418771908705615e-05,0.6003996003996004
"prophetische Schelt-, Droh- und Mahnrede",0.033339525646590075,0.02351078126434548,1000,0.009828744382244594,0.025974025974025976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012763701699939477,0.015489682963340353,1000,-0.0027259812634008763,0.8291708291708292
