genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005345940837493334,0.005430298863309952,1000,-8.435802581661846e-05,0.47952047952047955
Danklied des Einzelnen,0.04112164997594125,0.04069869524869417,1000,0.0004229547272470782,0.24275724275724275
Fluch,0.005319148936170213,0.004219666418658532,1000,0.0010994825175116808,0.11588411588411589
Hymnus,0.11633859911850869,0.11712871879910666,1000,-0.0007901196805979727,0.8751248751248751
Klagelied des Einzelnen,0.195041072545926,0.19057833017565246,1000,0.004462742370273554,0.002997002997002997
Klagelied des Volkes,0.05078967759904464,0.05034710162125645,1000,0.0004425759777881913,0.25774225774225773
Königspsalm,0.03247895176039729,0.03359443321538937,1000,-0.0011154814549920802,0.6703296703296703
Liturgie,0.03853641572121548,0.03909052188431558,1000,-0.0005541061631001015,0.6443556443556444
Mischgedicht,0.040889680075735055,0.03953511749953837,1000,0.0013545625761966842,0.26873126873126874
Thronbesteigungslied,0.020786840652597872,0.020555573729227585,1000,0.00023126692337028729,0.3836163836163836
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.022017662083316562,0.023538288470607554,1000,-0.0015206263872909916,0.962037962037962
Zionslied,0.030275142319640347,0.03137770594205723,1000,-0.0011025636224168828,0.5444555444555444
prophetische Gerichtsrede,0.007936507936507936,0.007813739319865705,1000,0.00012276861664223086,0.4325674325674326
"prophetische Schelt-, Droh- und Mahnrede",0.033595759386880475,0.020453434550768344,1000,0.013142324836112131,0.002997002997002997
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010172707286575364,0.010224088147157228,1000,-5.1380860581864626e-05,0.5264735264735265
