genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.003891135742775445,0.003936651894919715,1000,-4.551615214427006e-05,0.6503496503496503
Danklied des Einzelnen,0.04989477403112492,0.05114151123722193,1000,-0.0012467372060970122,0.9150849150849151
Fluch,0.003401360544217687,0.0034947022641911812,1000,-9.334171997349427e-05,0.6893106893106893
Hymnus,0.16886049948534781,0.17109934924935477,1000,-0.002238849764006956,0.8711288711288712
Klagelied des Einzelnen,0.22629263153615076,0.22207351720342502,1000,0.004219114332725732,0.03696303696303696
Klagelied des Volkes,0.04196914019615946,0.04197987303228993,1000,-1.0732836130469825e-05,0.4955044955044955
Königspsalm,0.013551697044930994,0.01354466434701274,1000,7.032697918255004e-06,0.36563436563436563
Liturgie,0.022156901823545412,0.022009354480415765,1000,0.00014754734312964757,0.2817182817182817
Mischgedicht,0.01575885346347613,0.015460214554317188,1000,0.0002986389091589412,0.22877122877122877
Thronbesteigungslied,0.07679061754200002,0.06850271045776776,1000,0.008287907084232257,0.1108891108891109
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015718729251628,0.015398119610315047,1000,0.0003206096413129536,0.3386613386613387
Zionslied,0.02066242384375834,0.02410474937292132,1000,-0.0034423255291629803,0.7192807192807192
prophetische Gerichtsrede,0.003472222222222222,0.003695329955312389,1000,-0.00022310773309016686,0.6193806193806194
"prophetische Schelt-, Droh- und Mahnrede",0.03052451965270287,0.02063741570142042,1000,0.00988710395128245,0.022977022977022976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.013845082149706771,0.01378615506290957,1000,5.8927086797201655e-05,0.4065934065934066
